domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,01,1025671343,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_40_seed_1025671343/exp_tomato_20260921_013741_685598.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_40_seed_1025671343/exp_tomato_20260921_020212_760071.txt,1,1,3.0,0.0,-23.588,0.0
tomato,01,1084618528,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_33_seed_1084618528/exp_tomato_20260921_013729_333914.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_33_seed_1084618528/exp_tomato_20260921_015935_129800.txt,1,1,2.0,0.0,-19.6513,0.0
tomato,01,1201029111,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_08_seed_1201029111/exp_tomato_20260921_013641_435969.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_08_seed_1201029111/exp_tomato_20260921_015022_477210.txt,1,1,-2.0,-4.0,-27.5678,0.0
tomato,01,1233339309,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_27_seed_1233339309/exp_tomato_20260921_013712_009541.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_27_seed_1233339309/exp_tomato_20260921_015739_069101.txt,1,1,4.0,0.0,-21.267,0.0
tomato,01,1273020582,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_03_seed_1273020582/exp_tomato_20260921_013632_758665.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_03_seed_1273020582/exp_tomato_20260921_014834_688242.txt,1,1,5.0,0.0,-23.345399999999998,0.0
tomato,01,1649478604,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_25_seed_1649478604/exp_tomato_20260921_013708_744424.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_25_seed_1649478604/exp_tomato_20260921_015652_707289.txt,1,1,7.0,-1.0,-23.6621,0.0
tomato,01,1911303750,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_06_seed_1911303750/exp_tomato_20260921_013638_056538.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_06_seed_1911303750/exp_tomato_20260921_014930_092089.txt,1,0,1.0,1.0,-20.930600000000002,10.0
tomato,01,2027029533,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_17_seed_2027029533/exp_tomato_20260921_013656_248721.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_17_seed_2027029533/exp_tomato_20260921_015350_412474.txt,1,1,-1.0,-3.0,-27.9371,0.0
tomato,01,2030859206,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_01_seed_2030859206/exp_tomato_20260921_013629_645526.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_01_seed_2030859206/exp_tomato_20260921_014747_481899.txt,1,1,-1.0,-3.0,-30.1198,0.0
tomato,01,217537032,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_22_seed_217537032/exp_tomato_20260921_013704_174164.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_22_seed_217537032/exp_tomato_20260921_015543_690238.txt,1,1,7.0,-3.0,-28.499100000000002,0.0
tomato,01,2204152357,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_26_seed_2204152357/exp_tomato_20260921_013710_360620.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_26_seed_2204152357/exp_tomato_20260921_015716_102038.txt,1,1,5.0,0.0,-21.7226,0.0
tomato,01,2222960263,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_02_seed_2222960263/exp_tomato_20260921_013631_172555.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_02_seed_2222960263/exp_tomato_20260921_014809_698468.txt,1,1,6.0,1.0,-20.6315,0.0
tomato,01,2508123787,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_10_seed_2508123787/exp_tomato_20260921_013644_670038.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_10_seed_2508123787/exp_tomato_20260921_015058_396794.txt,1,0,4.0,6.0,-11.558800000000002,20.0
tomato,01,2607182153,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_36_seed_2607182153/exp_tomato_20260921_013734_064381.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_36_seed_2607182153/exp_tomato_20260921_020048_292105.txt,1,1,7.0,-1.0,-24.877299999999998,0.0
tomato,01,2698243041,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_05_seed_2698243041/exp_tomato_20260921_013636_396936.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_05_seed_2698243041/exp_tomato_20260921_014907_435855.txt,1,1,2.0,1.0,-21.2635,0.0
tomato,01,2741500852,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_11_seed_2741500852/exp_tomato_20260921_013646_461755.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_11_seed_2741500852/exp_tomato_20260921_015125_072927.txt,1,0,4.0,0.0,-24.8309,10.0
tomato,01,3008854274,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_38_seed_3008854274/exp_tomato_20260921_013737_631876.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_38_seed_3008854274/exp_tomato_20260921_020132_974703.txt,1,0,4.0,5.0,-17.5914,20.0
tomato,01,3049697230,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_15_seed_3049697230/exp_tomato_20260921_013652_903895.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_15_seed_3049697230/exp_tomato_20260921_015258_796335.txt,1,1,3.0,0.0,-23.3599,0.0
tomato,01,311025495,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_20_seed_311025495/exp_tomato_20260921_013700_948247.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_20_seed_311025495/exp_tomato_20260921_015451_839941.txt,1,1,3.0,0.0,-21.473,0.0
tomato,01,323427982,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_19_seed_323427982/exp_tomato_20260921_013659_373934.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_19_seed_323427982/exp_tomato_20260921_015428_721791.txt,1,1,2.0,-4.0,-28.2544,0.0
tomato,01,3325784884,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_30_seed_3325784884/exp_tomato_20260921_013724_702826.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_30_seed_3325784884/exp_tomato_20260921_015837_950469.txt,0,0,4.0,36.0,-13.7995,-185.0
tomato,01,3357973338,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_28_seed_3357973338/exp_tomato_20260921_013713_644827.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_28_seed_3357973338/exp_tomato_20260921_015752_912957.txt,1,0,8.0,6.0,-12.123899999999999,20.0
tomato,01,3373062200,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_39_seed_3373062200/exp_tomato_20260921_013739_850947.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_39_seed_3373062200/exp_tomato_20260921_020147_146340.txt,1,0,8.0,10.0,-11.7727,20.0
tomato,01,338448945,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_37_seed_338448945/exp_tomato_20260921_013735_732148.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_37_seed_338448945/exp_tomato_20260921_020113_342589.txt,1,1,5.0,0.0,-23.2722,0.0
tomato,01,3389846695,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_09_seed_3389846695/exp_tomato_20260921_013643_028131.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_09_seed_3389846695/exp_tomato_20260921_015045_130612.txt,1,1,5.0,0.0,-20.9955,0.0
tomato,01,3466707993,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_24_seed_3466707993/exp_tomato_20260921_013707_140488.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_24_seed_3466707993/exp_tomato_20260921_015627_378062.txt,1,1,4.0,1.0,-21.0152,0.0
tomato,01,3638621671,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_32_seed_3638621671/exp_tomato_20260921_013727_898251.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_32_seed_3638621671/exp_tomato_20260921_015913_970926.txt,1,1,10.0,-1.0,-25.8525,0.0
tomato,01,3649707942,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_29_seed_3649707942/exp_tomato_20260921_013715_132563.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_29_seed_3649707942/exp_tomato_20260921_015814_524876.txt,1,1,2.0,0.0,-20.0743,0.0
tomato,01,3736902642,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_18_seed_3736902642/exp_tomato_20260921_013657_898170.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_18_seed_3736902642/exp_tomato_20260921_015358_944167.txt,1,0,8.0,11.0,-6.830399999999999,30.0
tomato,01,3877458541,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_31_seed_3877458541/exp_tomato_20260921_013726_229856.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_31_seed_3877458541/exp_tomato_20260921_015846_382119.txt,1,0,6.0,8.0,-6.846400000000001,30.0
tomato,01,4028845444,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_35_seed_4028845444/exp_tomato_20260921_013732_485056.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_35_seed_4028845444/exp_tomato_20260921_020021_769397.txt,1,1,3.0,0.0,-20.2018,0.0
tomato,01,405999239,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_34_seed_405999239/exp_tomato_20260921_013731_023231.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_34_seed_405999239/exp_tomato_20260921_020000_049993.txt,1,1,9.0,-1.0,-23.1724,0.0
tomato,01,4065849833,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_12_seed_4065849833/exp_tomato_20260921_013647_932202.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_12_seed_4065849833/exp_tomato_20260921_015147_165883.txt,1,1,-1.0,0.0,-20.567700000000002,0.0
tomato,01,532817344,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_23_seed_532817344/exp_tomato_20260921_013705_654301.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_23_seed_532817344/exp_tomato_20260921_015604_814157.txt,1,1,4.0,0.0,-19.5961,0.0
tomato,01,597016452,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_16_seed_597016452/exp_tomato_20260921_013654_403230.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_16_seed_597016452/exp_tomato_20260921_015320_572492.txt,1,1,5.0,0.0,-20.227300000000003,0.0
tomato,01,796400590,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_07_seed_796400590/exp_tomato_20260921_013639_945912.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_07_seed_796400590/exp_tomato_20260921_014953_349176.txt,1,1,1.0,1.0,-21.304,0.0
tomato,01,821007751,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_13_seed_821007751/exp_tomato_20260921_013649_554274.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_13_seed_821007751/exp_tomato_20260921_015211_170982.txt,1,1,-1.0,0.0,-22.325699999999998,0.0
tomato,01,866496583,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_04_seed_866496583/exp_tomato_20260921_013634_643551.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_04_seed_866496583/exp_tomato_20260921_014844_358798.txt,1,0,6.0,10.0,-7.7246,30.0
tomato,01,871806833,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_21_seed_871806833/exp_tomato_20260921_013702_481175.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_21_seed_871806833/exp_tomato_20260921_015513_448477.txt,1,1,8.0,1.0,-20.0152,0.0
tomato,01,965164034,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/ours/run_14_seed_965164034/exp_tomato_20260921_013651_010162.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_01/cp_when/run_14_seed_965164034/exp_tomato_20260921_015233_473270.txt,1,1,5.0,1.0,-20.7899,0.0
tomato,02,1150817657,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_02/ours/run_04_seed_1150817657/exp_tomato_20260921_013749_080954.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_02/cp_when/run_04_seed_1150817657/exp_tomato_20260921_020349_272786.txt,1,0,4.0,2.0,-18.761400000000002,10.0
tomato,02,1337352578,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_02/ours/run_12_seed_1337352578/exp_tomato_20260921_013801_301864.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_02/cp_when/run_12_seed_1337352578/exp_tomato_20260921_020627_200745.txt,1,1,8.0,0.0,-21.6296,0.0
tomato,02,1408900490,ours,cp_when,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_02/ours/run_19_seed_1408900490/exp_tomato_20260921_013812_324845.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/tomato/scene_02/cp_when/run_19_seed_1408900490/exp_tomato_20260921_020901_883035.txt,1,1,5.0,0.0,-20.142,0.0
