domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
tomato,ours,01,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,8.7,1.8838041163342722,39,8.717948717948717,1.9049619135399496,40,15.125,5.743167624140389,39,14.23076923076923,1.0120728718702565,40,1.3635875,1.262182914572901,39,1.1657666666666666,0.168859534171754,40,25.125,30.8322071866417,39,30.0,0.0
tomato,ours,02,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,9.125,1.727418408774886,40,9.125,1.727418408774886,40,13.8,1.3435505964154104,40,13.8,1.3435505964154104,40,1.10996,0.22279907333048554,40,1.10996,0.22279907333048554,40,29.5,3.1622776601683795,40,29.5,3.1622776601683795
tomato,ours,03,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,9.05,2.123736426738594,39,9.076923076923077,2.1445722844895694,40,14.775,5.802243155972149,39,13.871794871794872,1.030571818266242,40,1.299675,1.210979368379588,39,1.1098076923076923,0.15852965252199647,40,24.75,30.80022477440459,39,29.615384615384617,1.3497638119975426
tomato,ours,04,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,9.85,2.1429670301494825,39,9.897435897435898,2.1496005968658185,40,14.9,5.768170842805792,39,14.0,0.9459053029269173,40,1.3418225,1.2471605618029566,39,1.1460846153846154,0.1532276282948819,40,25.125,30.8322071866417,39,30.0,0.0
tomato,ours,05,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,9.0,1.3397282541141673,39,9.0,1.3572417850765923,40,14.85,5.850925852660699,39,13.948717948717949,1.336702894767529,40,1.3065925,1.2300539734640166,39,1.1154076923076923,0.22871117431175228,40,24.5,30.187448571915635,39,29.23076923076923,4.061770021616441
tomato,cp_when,01,40,40,0,30,75.0,59.806038579231966,85.8128813609037,75.0,"{'GOAL DONE': 30, 'PLAN FAILURE': 10}",40,4.6,2.5998027538592923,30,5.066666666666666,2.3331691239426986,40,13.175,3.3041349385743453,30,14.5,1.6347519056735944,40,21.8795575,5.581096154069374,30,24.018076666666666,3.055986654114582,40,25.0,9.607689228305228,30,30.0,0.0
tomato,cp_when,02,40,40,0,27,67.5,52.01774618987768,79.9154977682173,67.5,"{'GOAL DONE': 27, 'PLAN FAILURE': 13}",40,3.95,2.6012817353502227,27,4.555555555555555,2.516611478423583,40,12.975,4.714883689459179,27,15.222222222222221,3.297240493472515,40,21.74816,8.095757821318267,27,25.62473333333333,5.787978048108391,40,21.625,14.249943769569668,27,27.59259259259259,12.509255832441893
tomato,cp_when,03,40,39,1,19,48.717948717948715,33.865175329862005,63.800637115542024,47.5,"{'GOAL DONE': 19, 'PLAN FAILURE': 19, 'MAX STEP': 1}",39,3.4871794871794872,2.594242561314684,19,4.894736842105263,2.558096880323888,39,12.102564102564102,7.4048166109523175,19,14.157894736842104,1.5004872502970805,39,20.23994358974359,13.006818344193148,19,23.70844736842105,3.2342402809398383,39,14.615384615384615,28.36288845120586,19,30.0,0.0
tomato,cp_when,04,40,40,0,24,60.0,44.595893660346185,73.65167431570808,60.0,"{'GOAL DONE': 24, 'PLAN FAILURE': 16}",40,4.2,2.4930673106405723,24,5.125,2.1931216584347646,40,13.05,3.5945114856559885,24,14.708333333333334,1.3981094896064243,40,21.8560675,6.077533049299438,24,24.5427375,2.5317456139490004,40,22.5,10.801234497346433,24,30.0,0.0
tomato,cp_when,05,40,40,0,26,65.0,49.50588083725769,77.86547112682372,65.0,"{'GOAL DONE': 26, 'PLAN FAILURE': 14}",40,3.75,2.3066236842000953,26,4.461538461538462,2.249102385055322,40,13.0,3.1622776601683795,26,14.461538461538462,1.3335897189396515,40,21.4767475,5.503833703509857,26,24.056503846153845,2.7055751334576934,40,23.25,9.971112120675253,26,29.615384615384617,1.9611613513818402
