domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,ours,all,400,400,0,396,99.0,97.45734353473804,99.6104516205009,99.0,"{'GOAL DONE': 396, 'MAX STEP': 4}",400,8.4875,2.131008386153052,396,8.48989898989899,2.1411930874800604,400,12.5175,4.302437818021879,396,12.13888888888889,2.0802635611445,400,1.1333155,0.7965840031943353,396,1.0550623737373737,0.16380071752496347,400,24.9875,20.035991268596828,396,26.893939393939394,6.409949831859101
all,cp_when,all,400,399,1,291,72.93233082706767,68.36937423185377,77.05792625894647,72.75,"{'GOAL DONE': 291, 'PLAN FAILURE': 107, 'MAX STEP': 1}",399,5.7293233082706765,3.394041082186681,291,6.766323024054983,3.0727444576782172,399,11.3734335839599,3.836271744082681,291,12.24742268041237,2.548958926773905,399,18.55651253132832,6.686868539684962,291,19.91393848797251,4.754082939961272,399,21.76691729323308,13.420089503505077,291,27.010309278350515,7.009591722127161
all,value_when,all,400,400,0,236,59.0,54.116726463929865,63.712052238052785,59.0,"{'PLAN FAILURE': 160, 'GOAL DONE': 236, 'MAX STEP': 4}",400,0.8725,0.9318877544894656,236,1.1059322033898304,0.9857531841515459,400,11.165,5.811817103549696,236,12.970338983050848,3.044906715464057,400,2.30095475,1.3616933269532865,236,2.650189406779661,1.0155826323243202,400,17.5875,21.709343212238526,236,27.66949152542373,5.693677097385272
all,value_what,all,400,400,0,393,98.25,96.4322927074442,99.14977088929619,98.25,"{'GOAL DONE': 393, 'MAX STEP': 5, 'PLAN FAILURE': 2}",400,12.8,2.808865306627739,393,12.844783715012722,2.797380246117209,400,12.7025,4.59311828597658,393,12.236641221374045,1.8687769972196469,400,2.5666935,0.9614658567218364,393,2.4819819338422393,0.5349659177150062,400,26.575,21.692643960684286,393,29.020356234096692,3.7789147663779143
tomato,ours,all,200,200,0,196,98.0,94.97129130941735,99.21955735836505,98.0,"{'GOAL DONE': 196, 'MAX STEP': 4}",200,9.145,1.8872689049518063,196,9.16326530612245,1.9011137224432306,200,14.69,5.182488876473723,196,13.96938775510204,1.1453726893866831,200,1.2843275,1.1040300843862452,196,1.1293061224489795,0.18884991588971958,200,25.8,27.25019017037511,196,29.668367346938776,2.3787993928752575
tomato,cp_when,all,200,199,1,126,63.31658291457286,56.427309626650604,69.70147110098675,63.0,"{'GOAL DONE': 126, 'PLAN FAILURE': 72, 'MAX STEP': 1}",199,4.0,2.5246261849504323,126,4.817460317460317,2.344016360525817,199,12.864321608040202,4.65980918422843,126,14.634920634920634,2.0103857325525354,199,21.446126130653266,8.07046739674599,126,24.42353492063492,3.7073032944245057,199,21.4321608040201,16.36342839204817,126,29.404761904761905,5.851739668069413
tomato,value_when,all,200,200,0,124,62.0,55.10671801561923,68.44099415132638,62.0,"{'PLAN FAILURE': 72, 'GOAL DONE': 124, 'MAX STEP': 4}",200,1.015,0.99988692828076,124,1.282258064516129,1.0324844444267505,200,13.94,6.62994576935005,124,15.32258064516129,2.318355132825592,200,3.03025,1.5939478612621276,124,3.4402274193548386,0.7870370909265326,200,18.575,28.361350567808838,124,29.677419354838708,2.7601943701346756
tomato,value_what,all,200,200,0,193,96.5,92.95293884777092,98.29444579914328,96.5,"{'GOAL DONE': 193, 'MAX STEP': 5, 'PLAN FAILURE': 2}",200,12.765,2.5142358500243644,193,12.854922279792746,2.476911954928914,200,14.72,5.745139960508286,193,13.844559585492227,0.9335661565023091,200,2.3224855,1.2097361534419282,193,2.1411326424870465,0.27355241389479346,200,24.925,30.22311297316914,193,29.844559585492227,1.522978146669597
wastesorting,ours,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,7.83,2.16205281198426,200,7.83,2.16205281198426,200,10.345,0.8773962164284816,200,10.345,0.8773962164284816,200,0.9823035,0.0869479977302323,200,0.9823035,0.0869479977302323,200,24.175,7.810209463215214,200,24.175,7.810209463215214
wastesorting,cp_when,all,200,200,0,165,82.5,76.63556885175099,87.13948493372666,82.5,"{'GOAL DONE': 165, 'PLAN FAILURE': 35}",200,7.45,3.275844284897326,165,8.254545454545454,2.7132343795231115,200,9.89,1.8425184861648733,165,10.424242424242424,0.8275110724446395,200,15.681347,2.822284938246716,165,16.470246666666668,1.3908125296918947,200,22.1,9.672527536519274,165,25.181818181818183,7.281175802320773
wastesorting,value_when,all,200,200,0,112,56.0,49.07167533465867,62.70218074881414,56.0,"{'GOAL DONE': 112, 'PLAN FAILURE': 88}",200,0.73,0.8370203193921739,112,0.9107142857142857,0.895972685279553,200,8.39,2.879122563155022,112,10.366071428571429,0.8053373275020915,200,1.5716595,0.3285981048061002,112,1.7755044642857143,0.16731111516922567,200,16.6,11.774258610593948,112,25.446428571428573,7.1203796914074005
wastesorting,value_what,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,12.835,3.0814365572377773,200,12.835,3.0814365572377773,200,10.685,1.0541971629118803,200,10.685,1.0541971629118803,200,2.8109015,0.5197523150431497,200,2.8109015,0.5197523150431497,200,28.225,4.959572744606659,200,28.225,4.959572744606659
