domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,ours,0,success,Task success (%),200,200,0,0,0,196.0,98.0,0.14035131799278394,94.97129130941735,99.21955735836505,3.028708690582647,1.2195573583650514,95% Wilson CI,01_processed/episodes.csv
tomato,ours,0,questions,Questions per episode,200,200,0,0,0,1829.0,9.145,1.8872689049518063,9.011549935938607,9.278450064061392,0.13345006406139248,0.13345006406139248,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,steps,Physical/planning steps,200,200,0,0,0,2938.0,14.69,5.182488876473723,14.323542697202157,15.056457302797842,0.3664573027978424,0.3664573027978424,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,seconds,Logged episode time (s),200,200,0,0,0,256.86550000000017,1.2843275,1.1040300843862452,1.206260784069653,1.362394215930347,0.07806671593034697,0.07806671593034697,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,questions_success_only,Questions (successful episodes),200,196,0,0,1,1796.0,9.16326530612245,1.9011137224432306,9.027471468805075,9.299059143439823,0.13579383731737416,0.13579383731737416,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,steps_success_only,Steps (successful episodes),200,196,0,0,1,2738.0,13.96938775510204,1.1453726893866831,13.887575420145849,14.051200090058233,0.08181233495619189,0.08181233495619189,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,reward,Cumulative reward,200,200,0,0,0,5160.0,25.8,27.25019017037511,23.873120574190477,27.726879425809525,1.926879425809524,1.926879425809524,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,success,Task success (%),200,199,1,0,0,126.0,63.31658291457286,0.48315621377279583,56.427309626650604,69.70147110098675,6.889273287922258,6.384888186413889,95% Wilson CI,01_processed/episodes.csv
tomato,cp_when,1,questions,Questions per episode,200,199,1,0,0,796.0,4.0,2.5246261849504323,3.821033994781674,4.178966005218326,0.17896600521832617,0.17896600521832617,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,steps,Physical/planning steps,200,199,1,0,0,2560.0,12.864321608040202,4.65980918422843,12.533996493077726,13.194646723002677,0.3303251149624753,0.3303251149624753,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,seconds,Logged episode time (s),200,199,1,0,0,4267.779099999998,21.446126130653266,8.07046739674599,20.874025865334687,22.018226395971844,0.5721002653185785,0.5721002653185785,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,questions_success_only,Questions (successful episodes),200,126,1,0,1,607.0,4.817460317460317,2.344016360525817,4.608638742934594,5.026281891986041,0.20882157452572336,0.20882157452572336,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,steps_success_only,Steps (successful episodes),200,126,1,0,1,1844.0,14.634920634920634,2.0103857325525354,14.455821239052298,14.81402003078897,0.17909939586833623,0.17909939586833623,mean +/- 1 SE,01_processed/episodes.csv
tomato,cp_when,1,reward,Cumulative reward,200,199,1,0,0,4265.0,21.4321608040201,16.36342839204817,20.27218812035783,22.59213348768237,1.1599726836622715,1.1599726836622715,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,success,Task success (%),200,200,0,0,0,124.0,62.0,0.4866044796320621,55.10671801561923,68.44099415132638,6.893281984380771,6.440994151326379,95% Wilson CI,01_processed/episodes.csv
tomato,value_when,2,questions,Questions per episode,200,200,0,0,0,203.0,1.015,0.99988692828076,0.9442973172592887,1.0857026827407112,0.07070268274071123,0.07070268274071134,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,steps,Physical/planning steps,200,200,0,0,0,2788.0,13.94,6.62994576935005,13.471192038759352,14.408807961240647,0.46880796124064794,0.46880796124064794,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,seconds,Logged episode time (s),200,200,0,0,0,606.0499999999998,3.03025,1.5939478612621276,2.9175408658443756,3.1429591341556247,0.11270913415562456,0.11270913415562456,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,questions_success_only,Questions (successful episodes),200,124,0,0,1,159.0,1.282258064516129,1.0324844444267505,1.1895382242765222,1.3749779047557358,0.09271984023960678,0.09271984023960678,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,steps_success_only,Steps (successful episodes),200,124,0,0,1,1900.0,15.32258064516129,2.318355132825592,15.114386208243058,15.530775082079522,0.20819443691823203,0.20819443691823203,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_when,2,reward,Cumulative reward,200,200,0,0,0,3715.0,18.575,28.361350567808838,16.569549668989342,20.580450331010656,2.005450331010657,2.005450331010657,mean +/- 1 SE,01_processed/episodes.csv
tomato,value_what,3,success,Task success (%),200,200,0,0,0,193.0,96.5,0.18424093903932007,92.95293884777092,98.29444579914328,3.5470611522290767,1.7944457991432756,95% Wilson CI,01_processed/episodes.csv
tomato,value_what,3,questions,Questions per episode,200,200,0,0,0,2553.0,12.765,2.5142358500243644,12.587216678094546,12.942783321905456,0.17778332190545498,0.17778332190545498,mean +/- 1 SE,01_processed/episodes.csv
