index,domain,condition,scene,iteration,seed,raw_source,raw_sha256,status,success,questions,steps,seconds,reward,end_reason,gamma,n_simulations,threshold,timestamp
1,tomato,ours,01,,2030859206,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150158_586536.txt,306742497dc7034b3a7c0ce07bbdf6206ca368851d3fcfb1d81997e1e6b729e9,ok,1,15,19,6.0787,10.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:01:58
2,tomato,ours,01,,2222960263,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150222_076340.txt,1bc60b390df7027ca5dba58ae0c4fc12e79e2d74c10b094ece4cf400ec32a58f,ok,1,12,17,5.8066,5.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:02:22
3,tomato,ours,01,,1273020582,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150242_658979.txt,73538dfcbd50b115095facd1ab63785d834c507a3168ef465904050900fbbc9c,ok,1,19,19,6.3711,-10.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:02:42
4,tomato,ours,01,,866496583,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150306_543613.txt,817d95907cc7f6276016598541a71f1818abd295a2ef97cf04da084626143ff9,ok,1,13,15,4.4557,20.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:03:06
5,tomato,ours,01,,2698243041,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150329_749315.txt,c1a4cd44140333fb805097163b82e9d2faf8fbef2900506da0ad9e2aea52cf7d,ok,1,15,20,6.8046,-10.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:03:29
6,tomato,ours,01,,1911303750,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150350_884424.txt,4cc3c9f8d0ba9435dbf4d2a3df032132c64dc33310ee8ae100dca48093244c17,ok,1,11,17,5.0044,20.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:03:50
7,tomato,ours,01,,796400590,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150419_628829.txt,95c24853ba905120c154064cecd2584f8f131d316aa3b51cc8bae2fc5b1f6d5b,ok,1,12,17,4.9611,15.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:04:19
8,tomato,ours,01,,1201029111,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150444_573944.txt,0a89567f10c79cd97eabaa7217303c65ab96bd11cc29e7c99502ac0bd3ba0cab,ok,1,21,24,7.7455,-15.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:04:44
9,tomato,ours,01,,3389846695,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150504_061692.txt,63d86a880f4471751dc53b23634101107845220231eab70b7d301199c16a19f9,ok,1,19,18,5.5048,-5.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:05:04
10,tomato,ours,01,,2508123787,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150529_216155.txt,00f954402a34591f378bb7c2f0efd3bd9c8f6845758b91f8ba9b75f362cf73c1,ok,1,25,18,5.9754,10.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:05:29
11,tomato,ours,01,,2741500852,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4.backup_20260917_071915/exp_tomato_20260912_150558_505149.txt,bccd449ad1d664af41ccd465018d0e33ae03b0eadfcb53270de490b48712a9c9,ok,1,19,16,5.2804,0.0,GOAL DONE,0.95,100,0.8,2026-09-12 15:05:58
