domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
tomato,ours,01,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,15.625,6.10459053835928,40,15.625,6.10459053835928,40,18.6,3.9535767642438953,40,18.6,3.9535767642438953,40,5.9752825,1.4182745585859076,40,5.9752825,1.4182745585859076,40,-2.875,15.270530526609171,40,-2.875,15.270530526609171
tomato,ours,02,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,15.475,6.905915338799533,40,15.475,6.905915338799533,40,18.6,4.093772631567899,40,18.6,4.093772631567899,40,6.020685,1.51154890818012,40,6.020685,1.51154890818012,40,-0.75,13.846688023883878,40,-0.75,13.846688023883878
tomato,ours,03,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,16.25,7.073786930524664,40,16.25,7.073786930524664,40,18.875,5.184728561497724,40,18.875,5.184728561497724,40,6.0634825,1.8194595855726092,40,6.0634825,1.8194595855726092,40,6.0,14.815099712360341,40,6.0,14.815099712360341
tomato,ours,04,40,40,0,38,95.0,83.49612263085902,98.61793326138516,95.0,"{'GOAL DONE': 38, 'PLAN FAILURE': 1, 'MAX STEP': 1}",40,15.025,6.836881505331851,38,15.289473684210526,6.592001274012776,40,18.6,6.7017028069603715,38,18.18421052631579,3.733379478817975,40,6.1025525,2.6859374737350277,38,5.889926315789474,1.3762382107768538,40,-2.875,17.610002256876047,38,-0.9210526315789473,12.726608811265981
tomato,ours,05,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,14.225,5.181265561666649,40,14.225,5.181265561666649,40,18.075,3.8722384700881696,40,18.075,3.8722384700881696,40,5.846585,1.4792281413386528,40,5.846585,1.4792281413386528,40,-0.625,12.099348361347019,40,-0.625,12.099348361347019
tomato,ours_when_only,01,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,19.375,7.461654109598089,40,19.375,7.461654109598089,40,18.275,4.082404394597091,40,18.275,4.082404394597091,40,5.86114,1.4767803167702365,40,5.86114,1.4767803167702365,40,-1.25,15.053324021709097,40,-1.25,15.053324021709097
tomato,ours_when_only,02,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,19.575,9.228960827130969,40,19.575,9.228960827130969,40,18.75,5.067493184947285,40,18.75,5.067493184947285,40,6.0488675,1.915052255079714,40,6.0488675,1.915052255079714,40,0.0,15.317159809030674,40,0.0,15.317159809030674
tomato,ours_when_only,03,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,22.325,10.373505453057582,40,22.325,10.373505453057582,40,19.6,5.838861849051379,40,19.6,5.838861849051379,40,6.3196275,2.044758137159691,40,6.3196275,2.044758137159691,40,3.75,16.74660317642709,40,3.75,16.74660317642709
tomato,ours_when_only,04,40,40,0,39,97.5,87.11863103652591,99.55731684973186,97.5,"{'GOAL DONE': 39, 'MAX STEP': 1}",40,19.5,7.990378829952548,39,19.384615384615383,8.06100223824682,40,18.875,6.264214604831528,39,18.076923076923077,3.758391420923916,40,6.1681725,2.586850306789548,39,5.820664102564103,1.3821334697311787,40,-1.875,18.140742500282023,39,0.1282051282051282,13.15330554247324
tomato,ours_when_only,05,40,40,0,40,100.0,91.23783988027135,100,100.0,{'GOAL DONE': 40},40,18.4,6.651778246916673,40,18.4,6.651778246916673,40,17.8,3.6458617215012,40,17.8,3.6458617215012,40,5.7280825,1.333002893198526,40,5.7280825,1.333002893198526,40,-0.5,13.146121588533738,40,-0.5,13.146121588533738
