domain,condition,scene,n_attempted,n_valid,n_errors,successes,success_percent,success_ci_low,success_ci_high,success_percent_errors_as_failure,end_reasons,questions_n,questions_mean,questions_sd,questions_success_only_n,questions_success_only_mean,questions_success_only_sd,steps_n,steps_mean,steps_sd,steps_success_only_n,steps_success_only_mean,steps_success_only_sd,seconds_n,seconds_mean,seconds_sd,seconds_success_only_n,seconds_success_only_mean,seconds_success_only_sd,reward_n,reward_mean,reward_sd,reward_success_only_n,reward_success_only_mean,reward_success_only_sd
all,ours,all,400,400,0,398,99.5,98.19550815637568,99.86277470452896,99.5,"{'GOAL DONE': 398, 'PLAN FAILURE': 1, 'MAX STEP': 1}",400,14.0375,5.502434526124388,398,14.057788944723619,5.471628415477088,400,15.2475,4.8492299727194625,398,15.190954773869347,4.495586258937922,400,3.89280775,2.482467504690555,398,3.861402512562814,2.3559075567845564,400,5.4625,12.85054220012108,398,5.690954773869347,12.142622998868893
all,ours_when_only,all,400,400,0,399,99.75,98.59767149241766,99.95585522131984,99.75,"{'GOAL DONE': 399, 'MAX STEP': 1}",400,23.05,9.138450535812334,399,23.047619047619047,9.149799574663955,400,15.3,4.998746710094361,399,15.213032581453634,4.6922614123951325,400,3.9119405,2.5194547940890697,399,3.8723187969924813,2.3945922047622425,400,5.6,13.236427294356925,399,5.81453634085213,12.537408916308477
all,ours_what_only,all,400,400,0,284,71.0,66.37014956653164,75.2303340714279,71.0,"{'GOAL DONE': 284, 'PLAN FAILURE': 113, 'MAX STEP': 3}",400,9.065,5.426268143476904,284,10.257042253521126,5.131567898866956,400,14.7675,6.877622990175274,284,16.380281690140844,5.1021126288294285,400,3.78998175,2.925579394252037,284,4.057074647887324,2.645113433918275,400,2.6625,16.163283176930488,284,4.806338028169014,14.665209496677717
all,random,all,400,400,0,280,70.0,65.33627542224784,74.28323280438029,70.0,"{'GOAL DONE': 280, 'PLAN FAILURE': 116, 'MAX STEP': 4}",400,12.795,8.152861330212492,280,14.564285714285715,7.852320355909978,400,14.73,7.011419257183241,280,16.235714285714284,4.969600366566653,400,3.78944775,3.013938895699856,280,3.99523,2.6075843482874514,400,2.5875,16.88060219827602,280,5.392857142857143,13.964469213315136
tomato,ours,all,200,200,0,198,99.0,96.42782382838232,99.72533418664555,99.0,"{'GOAL DONE': 198, 'PLAN FAILURE': 1, 'MAX STEP': 1}",200,15.32,6.429173458290259,198,15.373737373737374,6.375055860945041,200,18.55,4.839899081135669,198,18.46969696969697,4.172254367448284,200,6.0017175,1.8279225650070794,198,5.959891919191919,1.517016368290157,200,-0.225,15.04847694258317,198,0.17676767676767677,14.010295911561194
tomato,ours_when_only,all,200,200,0,199,99.5,97.22262956021069,99.91168312843989,99.5,"{'GOAL DONE': 199, 'MAX STEP': 1}",200,19.835,8.462615096490964,199,19.814070351758794,8.478767480891644,200,18.66,5.063853578582879,199,18.502512562814072,4.559233468112877,200,6.025178,1.915735676293344,199,5.9563547738693465,1.654227004002942,200,0.025,15.735705805140412,199,0.4271356783919598,14.709080111068184
tomato,ours_what_only,all,200,200,0,132,66.0,59.18849552683626,72.2084540290912,66.0,"{'GOAL DONE': 132, 'PLAN FAILURE': 65, 'MAX STEP': 3}",200,10.2,6.051703526932681,132,11.787878787878787,5.877931690849656,200,18.06,7.817413881776695,132,20.272727272727273,4.903793373682215,200,5.8330125,2.9357528787209497,132,6.5664030303030305,1.7784684948049114,200,-4.45,19.386248558342306,132,-3.6742424242424243,17.063642081955635
tomato,random,all,200,200,0,128,64.0,57.141528166003084,70.33080269543346,64.0,"{'GOAL DONE': 128, 'PLAN FAILURE': 68, 'MAX STEP': 4}",200,12.28,7.390174109372131,128,14.109375,7.316505313330948,200,17.98,8.070642872901114,128,20.0390625,4.8332873730731825,200,5.822841,3.120709610808729,128,6.4932328125,1.8001740525258392,200,-4.7,20.451192050377088,128,-2.7734375,16.28738695792922
wastesorting,ours,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,12.755,4.00815437670977,200,12.755,4.00815437670977,200,11.945,1.3420059237937392,200,11.945,1.3420059237937392,200,1.783898,0.2743315909716289,200,1.783898,0.2743315909716289,200,11.15,6.294889049117825,200,11.15,6.294889049117825
wastesorting,ours_when_only,all,200,200,0,200,100.0,98.11546736227335,100,100.0,{'GOAL DONE': 200},200,26.265,8.663141758370813,200,26.265,8.663141758370813,200,11.94,1.3286181282269434,200,11.94,1.3286181282269434,200,1.798703,0.2841335737459553,200,1.798703,0.2841335737459553,200,11.175,6.4187519724960636,200,11.175,6.4187519724960636
wastesorting,ours_what_only,all,200,200,0,152,76.0,69.62665902079583,81.3933840075863,76.0,"{'PLAN FAILURE': 48, 'GOAL DONE': 152}",200,7.93,4.452439904763189,152,8.927631578947368,3.943478099215991,200,11.475,3.4552959861289443,152,13.0,1.7829211836253074,200,1.746951,0.3905073097830178,152,1.877921052631579,0.2903095430951757,200,9.775,6.804844195322408,152,12.171052631578947,5.744881183434615
wastesorting,random,all,200,200,0,152,76.0,69.62665902079583,81.3933840075863,76.0,"{'PLAN FAILURE': 48, 'GOAL DONE': 152}",200,13.31,8.838807759707489,152,14.947368421052632,8.281303824213307,200,11.48,3.4929361596048927,152,13.032894736842104,1.8428949410318334,200,1.7560545,0.40440494753117007,152,1.8916486842105262,0.3063269741593041,200,9.875,6.8074283251467325,152,12.269736842105264,5.74971395169497
