domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,ours,0,success,Task success (%),200,200,0,0,0,198.0,99.0,0.09974842727441166,96.42782382838232,99.72533418664555,2.5721761716176843,0.7253341866455543,95% Wilson CI,01_processed/episodes.csv
tomato,ours,0,questions,Questions per episode,200,200,0,0,0,3064.0,15.32,6.429173458290259,14.865388785021839,15.774611214978162,0.45461121497816137,0.45461121497816137,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,steps,Physical/planning steps,200,200,0,0,0,3710.0,18.55,4.839899081135669,18.207767453947042,18.89223254605296,0.3422325460529585,0.3422325460529585,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,seconds,Logged episode time (s),200,200,0,0,0,1200.3435000000002,6.0017175,1.8279225650070794,5.872463855879959,6.130971144120041,0.12925364412004114,0.12925364412004114,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,questions_success_only,Questions (successful episodes),200,198,0,0,1,3044.0,15.373737373737374,6.375055860945041,14.920681881617202,15.826792865857545,0.45305549212017127,0.45305549212017127,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,steps_success_only,Steps (successful episodes),200,198,0,0,1,3657.0,18.46969696969697,4.172254367448284,18.173187763044368,18.76620617634957,0.29650920665260116,0.29650920665260116,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours,0,reward,Cumulative reward,200,200,0,0,0,-45.0,-0.225,15.04847694258317,-1.2890880092629964,0.8390880092629963,1.0640880092629963,1.0640880092629963,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,1,success,Task success (%),200,200,0,0,0,199.0,99.5,0.07071067811865475,97.22262956021069,99.91168312843989,2.2773704397893084,0.41168312843988986,95% Wilson CI,01_processed/episodes.csv
tomato,ours_when_only,1,questions,Questions per episode,200,200,0,0,0,3967.0,19.835,8.462615096490964,19.23660274786996,20.433397252130042,0.5983972521300416,0.5983972521300416,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,1,steps,Physical/planning steps,200,200,0,0,0,3732.0,18.66,5.063853578582879,18.30193147956483,19.018068520435172,0.3580685204351717,0.3580685204351717,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,1,seconds,Logged episode time (s),200,200,0,0,0,1205.0356000000015,6.025178,1.915735676293344,5.889715031233198,6.160640968766803,0.1354629687668023,0.1354629687668023,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,1,questions_success_only,Questions (successful episodes),200,199,0,0,1,3943.0,19.814070351758794,8.478767480891644,19.213026460874797,20.41511424264279,0.6010438908839966,0.6010438908839966,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,1,steps_success_only,Steps (successful episodes),200,199,0,0,1,3682.0,18.502512562814072,4.559233468112877,18.179317071335053,18.82570805429309,0.3231954914790194,0.3231954914790194,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_when_only,1,reward,Cumulative reward,200,200,0,0,0,5.0,0.025,15.735705805140412,-1.0876824281571307,1.1376824281571305,1.1126824281571306,1.1126824281571306,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,2,success,Task success (%),200,200,0,0,0,132.0,66.0,0.47489750282661497,59.18849552683626,72.2084540290912,6.811504473163737,6.2084540290912,95% Wilson CI,01_processed/episodes.csv
tomato,ours_what_only,2,questions,Questions per episode,200,200,0,0,0,2040.0,10.2,6.051703526932681,9.772079939837536,10.627920060162463,0.42792006016246376,0.42792006016246376,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,2,steps,Physical/planning steps,200,200,0,0,0,3612.0,18.06,7.817413881776695,17.507225363285382,18.612774636714615,0.5527746367146165,0.5527746367146165,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,2,seconds,Logged episode time (s),200,200,0,0,0,1166.6025000000009,5.8330125,2.9357528787209497,5.625423423156849,6.040601576843151,0.20758907684315098,0.20758907684315098,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,2,questions_success_only,Questions (successful episodes),200,132,0,0,1,1556.0,11.787878787878787,5.877931690849656,11.276270502573377,12.299487073184197,0.5116082853054102,0.5116082853054102,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,2,steps_success_only,Steps (successful episodes),200,132,0,0,1,2676.0,20.272727272727273,4.903793373682215,19.84590684483643,20.699547700618115,0.42682042789084207,0.42682042789084207,mean +/- 1 SE,01_processed/episodes.csv
tomato,ours_what_only,2,reward,Cumulative reward,200,200,0,0,0,-890.0,-4.45,19.386248558342306,-5.820814781737178,-3.0791852182628228,1.3708147817371774,1.3708147817371774,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,3,success,Task success (%),200,200,0,0,0,128.0,64.0,0.4812045188324021,57.141528166003084,70.33080269543346,6.858471833996916,6.330802695433462,95% Wilson CI,01_processed/episodes.csv
tomato,random,3,questions,Questions per episode,200,200,0,0,0,2456.0,12.28,7.390174109372131,11.75743577731137,12.802564222688629,0.5225642226886293,0.5225642226886293,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,3,steps,Physical/planning steps,200,200,0,0,0,3596.0,17.98,8.070642872901114,17.409319369603676,18.550680630396325,0.5706806303963248,0.5706806303963248,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,3,seconds,Logged episode time (s),200,200,0,0,0,1164.5682000000006,5.822841,3.120709610808729,5.602173507208312,6.0435084927916884,0.22066749279168807,0.22066749279168807,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,3,questions_success_only,Questions (successful episodes),200,128,0,0,1,1806.0,14.109375,7.316505313330948,13.462681184794535,14.756068815205465,0.6466938152054649,0.6466938152054649,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,3,steps_success_only,Steps (successful episodes),200,128,0,0,1,2565.0,20.0390625,4.8332873730731825,19.61185621538458,20.46626878461542,0.4272062846154192,0.4272062846154192,mean +/- 1 SE,01_processed/episodes.csv
tomato,random,3,reward,Cumulative reward,200,200,0,0,0,-940.0,-4.7,20.451192050377088,-6.146117658217006,-3.2538823417829947,1.4461176582170054,1.4461176582170054,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,success,Task success (%),200,200,0,0,0,200.0,100.0,0.0,98.11546736227335,100,1.8845326377266503,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,ours,0,questions,Questions per episode,200,200,0,0,0,2551.0,12.755,4.00815437670977,12.4715806860186,13.038419313981402,0.2834193139814012,0.2834193139814012,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,steps,Physical/planning steps,200,200,0,0,0,2389.0,11.945,1.3420059237937392,11.850105851089292,12.039894148910708,0.0948941489107078,0.0948941489107078,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,seconds,Logged episode time (s),200,200,0,0,0,356.77959999999996,1.783898,0.2743315909716289,1.7644998271730268,1.8032961728269732,0.019398172826973203,0.019398172826973203,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,questions_success_only,Questions (successful episodes),200,200,0,0,1,2551.0,12.755,4.00815437670977,12.4715806860186,13.038419313981402,0.2834193139814012,0.2834193139814012,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,steps_success_only,Steps (successful episodes),200,200,0,0,1,2389.0,11.945,1.3420059237937392,11.850105851089292,12.039894148910708,0.0948941489107078,0.0948941489107078,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,reward,Cumulative reward,200,200,0,0,0,2230.0,11.15,6.294889049117825,10.704884126655186,11.595115873344815,0.4451158733448146,0.4451158733448146,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_when_only,1,success,Task success (%),200,200,0,0,0,200.0,100.0,0.0,98.11546736227335,100,1.8845326377266503,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,ours_when_only,1,questions,Questions per episode,200,200,0,0,0,5253.0,26.265,8.663141758370813,25.652423371627567,26.877576628372434,0.6125766283724339,0.6125766283724339,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_when_only,1,steps,Physical/planning steps,200,200,0,0,0,2388.0,11.94,1.3286181282269434,11.846052511192335,12.033947488807664,0.09394748880766457,0.09394748880766457,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_when_only,1,seconds,Logged episode time (s),200,200,0,0,0,359.74060000000003,1.798703,0.2841335737459553,1.7786117223241467,1.8187942776758532,0.02009127767585328,0.02009127767585328,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_when_only,1,questions_success_only,Questions (successful episodes),200,200,0,0,1,5253.0,26.265,8.663141758370813,25.652423371627567,26.877576628372434,0.6125766283724339,0.6125766283724339,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_when_only,1,steps_success_only,Steps (successful episodes),200,200,0,0,1,2388.0,11.94,1.3286181282269434,11.846052511192335,12.033947488807664,0.09394748880766457,0.09394748880766457,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_when_only,1,reward,Cumulative reward,200,200,0,0,0,2235.0,11.175,6.4187519724960636,10.721125695349352,11.62887430465065,0.4538743046506486,0.4538743046506486,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_what_only,2,success,Task success (%),200,200,0,0,0,152.0,76.0,0.42815485856705265,69.62665902079583,81.3933840075863,6.373340979204173,5.393384007586306,95% Wilson CI,01_processed/episodes.csv
wastesorting,ours_what_only,2,questions,Questions per episode,200,200,0,0,0,1586.0,7.93,4.452439904763189,7.615164955051636,8.244835044948363,0.3148350449483637,0.3148350449483637,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_what_only,2,steps,Physical/planning steps,200,200,0,0,0,2295.0,11.475,3.4552959861289443,11.230673677720157,11.719326322279843,0.24432632227984286,0.24432632227984286,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_what_only,2,seconds,Logged episode time (s),200,200,0,0,0,349.3902,1.746951,0.3905073097830178,1.7193379633149513,1.7745640366850486,0.027613036685048664,0.027613036685048664,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_what_only,2,questions_success_only,Questions (successful episodes),200,152,0,0,1,1357.0,8.927631578947368,3.943478099215991,8.60777326822094,9.247489889673796,0.3198583107264277,0.3198583107264277,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_what_only,2,steps_success_only,Steps (successful episodes),200,152,0,0,1,1976.0,13.0,1.7829211836253074,12.85538599591408,13.14461400408592,0.14461400408591985,0.14461400408591985,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours_what_only,2,reward,Cumulative reward,200,200,0,0,0,1955.0,9.775,6.804844195322408,9.29382485245696,10.25617514754304,0.48117514754303947,0.48117514754303947,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,random,3,success,Task success (%),200,200,0,0,0,152.0,76.0,0.42815485856705265,69.62665902079583,81.3933840075863,6.373340979204173,5.393384007586306,95% Wilson CI,01_processed/episodes.csv
wastesorting,random,3,questions,Questions per episode,200,200,0,0,0,2662.0,13.31,8.838807759707489,12.685001909550657,13.934998090449344,0.6249980904493437,0.6249980904493437,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,random,3,steps,Physical/planning steps,200,200,0,0,0,2296.0,11.48,3.4929361596048927,11.233012115529169,11.726987884470832,0.24698788447083153,0.24698788447083153,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,random,3,seconds,Logged episode time (s),200,200,0,0,0,351.2108999999999,1.7560545,0.40440494753117007,1.727458751925532,1.7846502480744681,0.028595748074468075,0.028595748074468075,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,random,3,questions_success_only,Questions (successful episodes),200,152,0,0,1,2272.0,14.947368421052632,8.281303824213307,14.275665983462881,15.619070858642383,0.6717024375897509,0.6717024375897509,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,random,3,steps_success_only,Steps (successful episodes),200,152,0,0,1,1981.0,13.032894736842104,1.8428949410318334,12.883416218677667,13.182373255006542,0.1494785181644378,0.1494785181644378,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,random,3,reward,Cumulative reward,200,200,0,0,0,1975.0,9.875,6.8074283251467325,9.393642126884737,10.356357873115263,0.4813578731152628,0.4813578731152628,mean +/- 1 SE,01_processed/episodes.csv
