threshold,waste_success_rate_pct,waste_avg_queries,waste_query_rate,waste_avg_steps_success,tomato_success_rate_pct,tomato_avg_queries,tomato_query_rate,tomato_avg_steps_success
0.0,56.0,0.0,0.00,13.3,46.5,0.0,0.00,19.1
0.1,56.0,0.6,0.06,12.1,46.5,1.3,0.05,18.3
0.2,56.0,0.6,0.07,12.1,48.0,1.9,0.08,18.6
0.3,56.0,0.6,0.07,12.1,50.0,3.4,0.12,18.6
0.4,58.0,1.4,0.12,12.1,79.5,8.2,0.32,18.5
0.5,66.0,3.3,0.18,12.1,87.5,9.2,0.37,18.2
0.6,75.5,6.2,0.29,12.1,87.5,11.3,0.40,18.1
0.7,100.0,13.3,0.43,12.0,86.5,12.0,0.41,18.0
0.8,100.0,13.3,0.43,12.0,93.5,15.5,0.44,18.2
0.9,100.0,13.3,0.43,12.0,93.0,17.1,0.46,18.3
1.0,96.0,21.7,1.00,13.0,96.0,28.4,0.96,19.0
