domain,experiment,policy,threshold,scene,run_id,source_file,timestamp,success,planning_length,reward,question_count,query_step_count,query_probability_per_step,elapsed_seconds,model,prompt_version,seed,qhat,stop_reason,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,token_overall,max_step,max_belief_particles,search_time_total,search_time_avg,execute_time_total,execute_time_avg,update_time_total,update_time_avg,interaction_time_total,interaction_time_avg,pruning_time_total,pruning_time_avg,step_total_time_total,step_total_time_avg,tree_node_count_avg,tree_node_count_max,tree_nodes_expanded_this_step_avg,tree_nodes_expanded_this_step_max,root_action_count_avg,root_action_count_max,max_tree_depth_avg,max_tree_depth_max,belief_frontier_size_avg,belief_frontier_size_max,belief_entropy_avg,belief_entropy_max
tomato,when_what,ours,0.8,scene_01,601,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150158_586536.txt,2026-09-12 15:01:58,True,19,10.0,15,8,0.42105263157894735,6.0787,,,2030859206,,GOAL DONE,,,,,,,,,50,8000,6.0397,0.3179,0.0169,0.0009,0.0075,0.0004,0.0077,0.0004,0.0062,0.0003,6.0786,0.3199,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,602,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150222_076340.txt,2026-09-12 15:02:22,True,17,5.0,12,7,0.4117647058823529,5.8066,,,2222960263,,GOAL DONE,,,,,,,,,50,8000,5.7692,0.3394,0.0166,0.001,0.0076,0.0004,0.0068,0.0004,0.0059,0.0003,5.8064,0.3416,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,603,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150242_658979.txt,2026-09-12 15:02:42,True,19,-10.0,19,10,0.5263157894736842,6.3711,,,1273020582,,GOAL DONE,,,,,,,,,50,8000,6.3248,0.3329,0.0192,0.001,0.0108,0.0006,0.0098,0.0005,0.0059,0.0003,6.371,0.3353,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,604,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150306_543613.txt,2026-09-12 15:03:06,True,15,20.0,13,8,0.5333333333333333,4.4557,,,866496583,,GOAL DONE,,,,,,,,,50,8000,4.4246,0.295,0.0137,0.0009,0.0061,0.0004,0.0065,0.0004,0.0044,0.0003,4.4556,0.297,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,605,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150329_749315.txt,2026-09-12 15:03:29,True,20,-10.0,15,10,0.5,6.8046,,,2698243041,,GOAL DONE,,,,,,,,,50,8000,6.7604,0.338,0.02,0.001,0.0097,0.0005,0.0081,0.0004,0.0058,0.0003,6.8045,0.3402,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,606,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150350_884424.txt,2026-09-12 15:03:50,True,17,20.0,11,8,0.47058823529411764,5.0044,,,1911303750,,GOAL DONE,,,,,,,,,50,8000,4.9674,0.2922,0.017,0.001,0.0076,0.0004,0.0068,0.0004,0.0051,0.0003,5.0043,0.2944,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,607,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150419_628829.txt,2026-09-12 15:04:19,True,17,15.0,12,7,0.4117647058823529,4.9611,,,796400590,,GOAL DONE,,,,,,,,,50,8000,4.9261,0.2898,0.0157,0.0009,0.0063,0.0004,0.0074,0.0004,0.0051,0.0003,4.961,0.2918,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,608,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150444_573944.txt,2026-09-12 15:04:44,True,24,-15.0,21,13,0.5416666666666666,7.7455,,,1201029111,,GOAL DONE,,,,,,,,,50,8000,7.6964,0.3207,0.0231,0.001,0.0092,0.0004,0.0087,0.0004,0.0074,0.0003,7.7453,0.3227,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,609,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150504_061692.txt,2026-09-12 15:05:04,True,18,-5.0,19,9,0.5,5.5048,,,3389846695,,GOAL DONE,,,,,,,,,50,8000,5.4624,0.3035,0.0164,0.0009,0.0105,0.0006,0.0101,0.0006,0.0049,0.0003,5.5047,0.3058,,,,,,,,,,,,
tomato,when_what,ours,0.8,scene_01,610,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260912_150529_216155.txt,2026-09-12 15:05:29,True,18,10.0,25,11,0.6111111111111112,5.9754,,,2508123787,,GOAL DONE,,,,,,,,,50,8000,5.9306,0.3295,0.0189,0.001,0.0106,0.0006,0.0104,0.0006,0.0044,0.0002,5.9753,0.332,,,,,,,,,,,,
