metric,metric_label,domain,domain_label,policy,policy_label,n,valid_n,mean,std,min,max
success_rate,Success Rate,wastesorting,Waste,random,Random,200,200,0.760000,0.428155,0.000000,1.000000
success_rate,Success Rate,wastesorting,Waste,ours_when_only,Ours-when-only,200,200,1.000000,0.000000,1.000000,1.000000
success_rate,Success Rate,wastesorting,Waste,ours_what_only,Ours-what-only,200,200,0.760000,0.428155,0.000000,1.000000
success_rate,Success Rate,wastesorting,Waste,ours,Ours,200,200,1.000000,0.000000,1.000000,1.000000
success_rate,Success Rate,tomato,Tomato,random,Random,200,200,0.640000,0.481205,0.000000,1.000000
success_rate,Success Rate,tomato,Tomato,ours_when_only,Ours-when-only,200,200,0.995000,0.070711,0.000000,1.000000
success_rate,Success Rate,tomato,Tomato,ours_what_only,Ours-what-only,200,200,0.660000,0.474898,0.000000,1.000000
success_rate,Success Rate,tomato,Tomato,ours,Ours,200,200,0.990000,0.099748,0.000000,1.000000
average_step,Average Step,wastesorting,Waste,random,Random,200,200,11.480000,3.492936,3.000000,18.000000
average_step,Average Step,wastesorting,Waste,ours_when_only,Ours-when-only,200,200,11.940000,1.328618,10.000000,17.000000
average_step,Average Step,wastesorting,Waste,ours_what_only,Ours-what-only,200,200,11.475000,3.455296,3.000000,18.000000
average_step,Average Step,wastesorting,Waste,ours,Ours,200,200,11.945000,1.342006,10.000000,17.000000
average_step,Average Step,tomato,Tomato,random,Random,200,200,17.980000,8.070643,3.000000,50.000000
average_step,Average Step,tomato,Tomato,ours_when_only,Ours-when-only,200,200,18.660000,5.063854,13.000000,50.000000
average_step,Average Step,tomato,Tomato,ours_what_only,Ours-what-only,200,200,18.060000,7.817414,3.000000,50.000000
average_step,Average Step,tomato,Tomato,ours,Ours,200,200,18.550000,4.839899,3.000000,50.000000
average_step_success_only,Average Step (Success Only),wastesorting,Waste,random,Random,200,152,13.032895,1.842895,10.000000,18.000000
average_step_success_only,Average Step (Success Only),wastesorting,Waste,ours_when_only,Ours-when-only,200,200,11.940000,1.328618,10.000000,17.000000
average_step_success_only,Average Step (Success Only),wastesorting,Waste,ours_what_only,Ours-what-only,200,152,13.000000,1.782921,10.000000,18.000000
average_step_success_only,Average Step (Success Only),wastesorting,Waste,ours,Ours,200,200,11.945000,1.342006,10.000000,17.000000
average_step_success_only,Average Step (Success Only),tomato,Tomato,random,Random,200,128,20.039062,4.833287,13.000000,37.000000
average_step_success_only,Average Step (Success Only),tomato,Tomato,ours_when_only,Ours-when-only,200,199,18.502513,4.559233,13.000000,39.000000
average_step_success_only,Average Step (Success Only),tomato,Tomato,ours_what_only,Ours-what-only,200,132,20.272727,4.903793,13.000000,37.000000
average_step_success_only,Average Step (Success Only),tomato,Tomato,ours,Ours,200,198,18.469697,4.172254,13.000000,33.000000
average_question,Average Query Number,wastesorting,Waste,random,Random,200,200,13.310000,8.838808,0.000000,43.000000
average_question,Average Query Number,wastesorting,Waste,ours_when_only,Ours-when-only,200,200,26.265000,8.663142,9.000000,53.000000
average_question,Average Query Number,wastesorting,Waste,ours_what_only,Ours-what-only,200,200,7.930000,4.452440,0.000000,19.000000
average_question,Average Query Number,wastesorting,Waste,ours,Ours,200,200,12.755000,4.008154,5.000000,25.000000
average_question,Average Query Number,tomato,Tomato,random,Random,200,200,12.280000,7.390174,0.000000,48.000000
average_question,Average Query Number,tomato,Tomato,ours_when_only,Ours-when-only,200,200,19.835000,8.462615,4.000000,55.000000
average_question,Average Query Number,tomato,Tomato,ours_what_only,Ours-what-only,200,200,10.200000,6.051704,0.000000,39.000000
average_question,Average Query Number,tomato,Tomato,ours,Ours,200,200,15.320000,6.429173,1.000000,44.000000
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,random,Random,200,152,14.947368,8.281304,1.000000,43.000000
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,ours_when_only,Ours-when-only,200,200,26.265000,8.663142,9.000000,53.000000
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,ours_what_only,Ours-what-only,200,152,8.927632,3.943478,1.000000,19.000000
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,ours,Ours,200,200,12.755000,4.008154,5.000000,25.000000
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,random,Random,200,128,14.109375,7.316505,2.000000,48.000000
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,ours_when_only,Ours-when-only,200,199,19.814070,8.478767,4.000000,55.000000
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,ours_what_only,Ours-what-only,200,132,11.787879,5.877932,2.000000,39.000000
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,ours,Ours,200,198,15.373737,6.375056,4.000000,44.000000
query_probability_per_step,Query Probability per Step,wastesorting,Waste,random,Random,200,1,0.408101,,0.408101,0.408101
query_probability_per_step,Query Probability per Step,wastesorting,Waste,ours_when_only,Ours-when-only,200,1,0.409548,,0.409548,0.409548
query_probability_per_step,Query Probability per Step,wastesorting,Waste,ours_what_only,Ours-what-only,200,1,0.407407,,0.407407,0.407407
query_probability_per_step,Query Probability per Step,wastesorting,Waste,ours,Ours,200,1,0.410632,,0.410632,0.410632
query_probability_per_step,Query Probability per Step,tomato,Tomato,random,Random,200,1,0.395161,,0.395161,0.395161
query_probability_per_step,Query Probability per Step,tomato,Tomato,ours_when_only,Ours-when-only,200,1,0.445874,,0.445874,0.445874
query_probability_per_step,Query Probability per Step,tomato,Tomato,ours_what_only,Ours-what-only,200,1,0.395903,,0.395903,0.395903
query_probability_per_step,Query Probability per Step,tomato,Tomato,ours,Ours,200,1,0.449326,,0.449326,0.449326
average_reward,Average Reward,wastesorting,Waste,random,Random,200,200,9.875000,6.807428,0.000000,25.000000
average_reward,Average Reward,wastesorting,Waste,ours_when_only,Ours-when-only,200,200,11.175000,6.418752,0.000000,25.000000
average_reward,Average Reward,wastesorting,Waste,ours_what_only,Ours-what-only,200,200,9.775000,6.804844,0.000000,25.000000
average_reward,Average Reward,wastesorting,Waste,ours,Ours,200,200,11.150000,6.294889,0.000000,25.000000
average_reward,Average Reward,tomato,Tomato,random,Random,200,200,-4.700000,20.451192,-115.000000,25.000000
average_reward,Average Reward,tomato,Tomato,ours_when_only,Ours-when-only,200,200,0.025000,15.735706,-80.000000,25.000000
average_reward,Average Reward,tomato,Tomato,ours_what_only,Ours-what-only,200,200,-4.450000,19.386249,-115.000000,25.000000
average_reward,Average Reward,tomato,Tomato,ours,Ours,200,200,-0.225000,15.048477,-80.000000,25.000000
