domain,method,scene,n,successes,success_rate_pct
wastesorting,KnowNo,scene_01,40,14,35.0
wastesorting,KnowNo,scene_02,40,15,37.5
wastesorting,KnowNo,scene_03,40,18,45.0
wastesorting,KnowNo,scene_04,40,15,37.5
wastesorting,KnowNo,scene_05,40,10,25.0
wastesorting,Query-Action POMCP,scene_01,40,34,85.0
wastesorting,Query-Action POMCP,scene_02,40,36,90.0
wastesorting,Query-Action POMCP,scene_03,40,34,85.0
wastesorting,Query-Action POMCP,scene_04,40,38,95.0
wastesorting,Query-Action POMCP,scene_05,40,36,90.0
wastesorting,Ours,scene_01,40,40,100.0
wastesorting,Ours,scene_02,40,40,100.0
wastesorting,Ours,scene_03,40,40,100.0
wastesorting,Ours,scene_04,40,40,100.0
wastesorting,Ours,scene_05,40,40,100.0
tomato,KnowNo,scene_01,40,19,47.5
tomato,KnowNo,scene_02,40,15,37.5
tomato,KnowNo,scene_03,40,20,50.0
tomato,KnowNo,scene_04,40,17,42.5
tomato,KnowNo,scene_05,40,15,37.5
tomato,Query-Action POMCP,scene_01,40,22,55.0
tomato,Query-Action POMCP,scene_02,40,22,55.0
tomato,Query-Action POMCP,scene_03,40,26,65.0
tomato,Query-Action POMCP,scene_04,40,21,52.5
tomato,Query-Action POMCP,scene_05,40,18,45.0
tomato,Ours,scene_01,40,40,100.0
tomato,Ours,scene_02,40,40,100.0
tomato,Ours,scene_03,40,40,100.0
tomato,Ours,scene_04,40,38,95.0
tomato,Ours,scene_05,40,40,100.0
