domain,experiment,policy,threshold,scene,run_id,source_file,timestamp,success,planning_length,reward,question_count,query_step_count,query_probability_per_step,elapsed_seconds,model,prompt_version,seed,qhat,stop_reason,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,token_overall,max_step,max_belief_particles,search_time_total,search_time_avg,execute_time_total,execute_time_avg,update_time_total,update_time_avg,interaction_time_total,interaction_time_avg,pruning_time_total,pruning_time_avg,step_total_time_total,step_total_time_avg,tree_node_count_avg,tree_node_count_max,tree_nodes_expanded_this_step_avg,tree_nodes_expanded_this_step_max,root_action_count_avg,root_action_count_max,max_tree_depth_avg,max_tree_depth_max,belief_frontier_size_avg,belief_frontier_size_max,belief_entropy_avg,belief_entropy_max
wastesorting,knowno,knowno_gpt4,,scene_01,81,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter01_seed4064545001.txt,,False,7,,3,3,0.42857142857142855,9.148585230112076,gpt-4o,v2,4064545001,0.8704,PLAN FAILURE: true can waste waste4 was placed into plastic bin.,4,0,0,5.0,5.0,1.4285714285714286,2.0,6994,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,82,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter02_seed3622402991.txt,,False,10,,4,4,0.4,12.96175794582814,gpt-4o,v2,3622402991,0.8704,PLAN FAILURE: true paper waste waste1 was placed into general bin.,6,0,0,5.0,5.0,1.4,2.0,10173,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,83,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter03_seed2310768630.txt,,False,3,,0,0,0.0,3.8570816989522427,gpt-4o,v2,2310768630,0.8704,PLAN FAILURE: true paper waste waste1 was placed into plastic bin.,3,0,0,5.0,0.0,1.0,0.0,2948,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,84,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter04_seed2226680570.txt,,False,7,,3,3,0.42857142857142855,9.336665196111426,gpt-4o,v2,2226680570,0.8704,PLAN FAILURE: true plastic waste waste3 was placed into general bin.,4,0,0,5.0,5.0,1.4285714285714286,2.0,7068,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,85,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter05_seed4139245423.txt,,False,3,,1,1,0.3333333333333333,4.103173035895452,gpt-4o,v2,4139245423,0.8704,PLAN FAILURE: true paper waste waste1 was placed into plastic bin.,2,0,0,5.0,5.0,1.3333333333333333,2.0,2942,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,86,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter06_seed3176006814.txt,,True,10,,4,4,0.4,12.284956493182108,gpt-4o,v2,3176006814,0.8704,success,6,0,0,5.0,5.0,1.4,2.0,10183,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,87,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter07_seed1446821692.txt,,False,3,,1,1,0.3333333333333333,3.494240305852145,gpt-4o,v2,1446821692,0.8704,PLAN FAILURE: true paper waste waste1 was placed into can bin.,2,0,0,5.0,5.0,1.3333333333333333,2.0,2942,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,88,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter08_seed2855763027.txt,,False,3,,1,1,0.3333333333333333,3.9047734579071403,gpt-4o,v2,2855763027,0.8704,PLAN FAILURE: true paper waste waste1 was placed into can bin.,2,0,0,5.0,5.0,1.3333333333333333,2.0,2942,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,89,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter09_seed3987872288.txt,,True,10,,4,4,0.4,12.60917660407722,gpt-4o,v2,3987872288,0.8704,success,6,0,0,5.0,5.0,1.4,2.0,10172,,,,,,,,,,,,,,,,,,,,,,,,,,
wastesorting,knowno,knowno_gpt4,,scene_01,90,/home/fr/brl/02_BRL_POMDP_CODE/experiments_logs/system_log/wastesorting/scene_01_step50/when_knowno_gpt4/knowno_wastesorting_scene01_iter10_seed3143992301.txt,,True,9,,1,1,0.1111111111111111,11.529228120110929,gpt-4o,v2,3143992301,0.8704,success,8,0,0,5.0,5.0,1.1111111111111112,2.0,9185,,,,,,,,,,,,,,,,,,,,,,,,,,
