metric,metric_label,domain,domain_label,method,method_label,n,valid_n,mean,std
success_rate,Success Rate (%),wastesorting,Waste,knowno,KnowNo,200,200,0.360000,0.481205
average_question,Average Query Number,wastesorting,Waste,knowno,KnowNo,200,200,2.540000,1.452221
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,knowno,KnowNo,200,72,3.319444,1.471096
average_step_success_only,Average Step (Success Only),wastesorting,Waste,knowno,KnowNo,200,72,10.027778,0.530007
wall_clock_time,Episode Wall-Clock Time (s),wastesorting,Waste,knowno,KnowNo,200,200,9.460348,3.916078
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",wastesorting,Waste,knowno,KnowNo,200,72,13.065649,0.998421
success_rate,Success Rate (%),wastesorting,Waste,introplan,IntroPlan,200,200,0.305000,0.461563
average_question,Average Query Number,wastesorting,Waste,introplan,IntroPlan,200,200,2.755000,1.454494
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,introplan,IntroPlan,200,61,4.114754,1.066120
average_step_success_only,Average Step (Success Only),wastesorting,Waste,introplan,IntroPlan,200,61,10.016393,0.562489
wall_clock_time,Episode Wall-Clock Time (s),wastesorting,Waste,introplan,IntroPlan,200,200,44.751410,28.827898
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",wastesorting,Waste,introplan,IntroPlan,200,61,68.428799,27.451101
success_rate,Success Rate (%),wastesorting,Waste,query_action_pomcp,Query-Action POMCP,200,200,0.890000,0.313675
average_question,Average Query Number,wastesorting,Waste,query_action_pomcp,Query-Action POMCP,200,200,26.555000,7.437983
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,query_action_pomcp,Query-Action POMCP,200,178,27.780899,6.461732
average_step_success_only,Average Step (Success Only),wastesorting,Waste,query_action_pomcp,Query-Action POMCP,200,178,14.151685,2.037646
wall_clock_time,Episode Wall-Clock Time (s),wastesorting,Waste,query_action_pomcp,Query-Action POMCP,200,200,16.076231,3.831610
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",wastesorting,Waste,query_action_pomcp,Query-Action POMCP,200,178,16.975158,2.785910
success_rate,Success Rate (%),wastesorting,Waste,ours,Ours,200,200,1.000000,0.000000
average_question,Average Query Number,wastesorting,Waste,ours,Ours,200,200,12.755000,4.008154
average_question_success_only,Average Query Number (Success Only),wastesorting,Waste,ours,Ours,200,200,12.755000,4.008154
average_step_success_only,Average Step (Success Only),wastesorting,Waste,ours,Ours,200,200,11.945000,1.342006
wall_clock_time,Episode Wall-Clock Time (s),wastesorting,Waste,ours,Ours,200,200,1.783898,0.274332
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",wastesorting,Waste,ours,Ours,200,200,1.783898,0.274332
success_rate,Success Rate (%),tomato,Tomato,knowno,KnowNo,200,200,0.430000,0.496318
average_question,Average Query Number,tomato,Tomato,knowno,KnowNo,200,200,1.795000,1.349846
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,knowno,KnowNo,200,86,2.453488,1.058934
average_step_success_only,Average Step (Success Only),tomato,Tomato,knowno,KnowNo,200,86,14.011628,1.068195
wall_clock_time,Episode Wall-Clock Time (s),tomato,Tomato,knowno,KnowNo,200,200,16.261377,6.057052
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",tomato,Tomato,knowno,KnowNo,200,86,20.737770,2.248100
success_rate,Success Rate (%),tomato,Tomato,introplan,IntroPlan,200,200,0.565000,0.497001
average_question,Average Query Number,tomato,Tomato,introplan,IntroPlan,200,200,3.735000,1.791879
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,introplan,IntroPlan,200,113,4.300885,1.684408
average_step_success_only,Average Step (Success Only),tomato,Tomato,introplan,IntroPlan,200,113,14.725664,1.675708
wall_clock_time,Episode Wall-Clock Time (s),tomato,Tomato,introplan,IntroPlan,200,200,73.687020,25.386917
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",tomato,Tomato,introplan,IntroPlan,200,113,86.521588,16.238354
success_rate,Success Rate (%),tomato,Tomato,query_action_pomcp,Query-Action POMCP,200,200,0.545000,0.499220
average_question,Average Query Number,tomato,Tomato,query_action_pomcp,Query-Action POMCP,200,200,8.175000,4.788426
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,query_action_pomcp,Query-Action POMCP,200,109,10.376147,4.202709
average_step_success_only,Average Step (Success Only),tomato,Tomato,query_action_pomcp,Query-Action POMCP,200,109,17.844037,3.712278
wall_clock_time,Episode Wall-Clock Time (s),tomato,Tomato,query_action_pomcp,Query-Action POMCP,200,200,8.287784,4.100050
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",tomato,Tomato,query_action_pomcp,Query-Action POMCP,200,109,10.383726,2.831056
success_rate,Success Rate (%),tomato,Tomato,ours,Ours,200,200,0.990000,0.099748
average_question,Average Query Number,tomato,Tomato,ours,Ours,200,200,15.320000,6.429173
average_question_success_only,Average Query Number (Success Only),tomato,Tomato,ours,Ours,200,198,15.373737,6.375056
average_step_success_only,Average Step (Success Only),tomato,Tomato,ours,Ours,200,198,18.469697,4.172254
wall_clock_time,Episode Wall-Clock Time (s),tomato,Tomato,ours,Ours,200,200,6.001717,1.827923
wall_clock_time_success_only,"Episode Wall-Clock Time (Success Only, s)",tomato,Tomato,ours,Ours,200,198,5.959892,1.517016
