domain,baseline,comparison,paired_n,success_difference_pp,improved_pairs,worsened_pairs,mcnemar_exact_p
wastesorting,Random,Ours-when-only,200,24.0,48,0,7.1054274e-15
wastesorting,Random,Ours-what-only,200,0.0,1,1,1
wastesorting,Random,Ours,200,24.0,48,0,7.1054274e-15
wastesorting,Ours-when-only,Ours,200,0.0,0,0,1
wastesorting,Ours-what-only,Ours,200,24.0,48,0,7.1054274e-15
tomato,Random,Ours-when-only,200,35.5,71,0,8.4703295e-22
tomato,Random,Ours-what-only,200,2.0,10,6,0.45449829
tomato,Random,Ours,200,35.0,70,0,1.6940659e-21
tomato,Ours-when-only,Ours,200,-0.5,0,1,1
tomato,Ours-what-only,Ours,200,33.0,66,0,2.7105054e-20
