figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_success_rate,success_rate,Success Rate,all,All,waste,Waste,200,0.975000,0.000000,1.000000,0.156517,0.975000
policy_compare_total_success_rate,success_rate,Success Rate,all,All,tomato,Tomato,200,0.815000,0.000000,1.000000,0.389272,0.815000
policy_compare_total_success_rate,success_rate,Success Rate,no,No,waste,Waste,200,0.135000,0.000000,1.000000,0.342581,0.135000
policy_compare_total_success_rate,success_rate,Success Rate,no,No,tomato,Tomato,200,0.015000,0.000000,1.000000,0.121857,0.015000
policy_compare_total_success_rate,success_rate,Success Rate,random,Random,waste,Waste,200,0.900000,0.000000,1.000000,0.300753,0.900000
policy_compare_total_success_rate,success_rate,Success Rate,random,Random,tomato,Tomato,200,0.100000,0.000000,1.000000,0.300753,0.100000
policy_compare_total_success_rate,success_rate,Success Rate,knowno_gpt4,KnowNo,waste,Waste,200,0.385000,0.000000,1.000000,0.487816,0.385000
policy_compare_total_success_rate,success_rate,Success Rate,knowno_gpt4,KnowNo,tomato,Tomato,200,0.420000,0.000000,1.000000,0.494797,0.420000
policy_compare_total_success_rate,success_rate,Success Rate,ours,Ours,waste,Waste,200,0.915000,0.000000,1.000000,0.279582,0.915000
policy_compare_total_success_rate,success_rate,Success Rate,ours,Ours,tomato,Tomato,200,0.845000,0.000000,1.000000,0.362813,0.845000
policy_compare_total_average_step,average_step,Average Step,all,All,waste,Waste,200,11.270000,3.000000,26.000000,2.634731,11.270000
policy_compare_total_average_step,average_step,Average Step,all,All,tomato,Tomato,200,22.195000,5.000000,50.000000,9.294023,22.195000
policy_compare_total_average_step,average_step,Average Step,no,No,waste,Waste,200,41.970000,3.000000,50.000000,16.169924,41.970000
policy_compare_total_average_step,average_step,Average Step,no,No,tomato,Tomato,200,7.370000,3.000000,50.000000,5.904866,7.370000
policy_compare_total_average_step,average_step,Average Step,random,Random,waste,Waste,200,12.345000,3.000000,25.000000,3.379806,12.345000
policy_compare_total_average_step,average_step,Average Step,random,Random,tomato,Tomato,200,9.320000,3.000000,50.000000,6.175621,9.320000
policy_compare_total_average_step,average_step,Average Step,knowno_gpt4,KnowNo,waste,Waste,200,7.230000,1.000000,12.000000,2.958184,7.230000
policy_compare_total_average_step,average_step,Average Step,knowno_gpt4,KnowNo,tomato,Tomato,200,10.730000,2.000000,17.000000,4.040884,10.730000
policy_compare_total_average_step,average_step,Average Step,ours,Ours,waste,Waste,200,10.690000,3.000000,22.000000,2.852117,10.690000
policy_compare_total_average_step,average_step,Average Step,ours,Ours,tomato,Tomato,200,19.055000,5.000000,50.000000,6.853233,19.055000
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,all,All,waste,Waste,195,11.430769,9.000000,26.000000,2.432401,11.430769
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,all,All,tomato,Tomato,163,23.104294,14.000000,50.000000,7.209916,23.104294
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,no,No,waste,Waste,27,11.666667,9.000000,19.000000,2.183857,11.666667
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,no,No,tomato,Tomato,3,15.000000,13.000000,16.000000,1.732051,15.000000
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,random,Random,waste,Waste,180,12.733333,9.000000,25.000000,3.051879,12.733333
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,random,Random,tomato,Tomato,20,15.650000,12.000000,20.000000,2.277464,15.650000
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,knowno_gpt4,KnowNo,waste,Waste,77,9.974026,9.000000,12.000000,0.537392,9.974026
policy_compare_total_average_step_success_only,average_step_success_only,Average Step,knowno_gpt4,KnowNo,tomato,Tomato,84,14.011905,13.000000,17.000000,0.975533,14.011905
