index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.004998147816974214,0.9950018521830258,"B,E,C,A,D","-0.26991156,-1.9607284,-2.4199283,-5.2987413,-6.310111"
2,B,B,0.20206908279572935,0.7979309172042707,"A,B,C,E,D","-0.22853091,-1.5992012,-6.288128,-8.643074,-8.802816"
3,E,E,0.002428798252800977,0.997571201747199,"A,D,E,C,B","-0.33123484,-1.282811,-6.0204782,-6.3160486,-7.9531336"
4,A,A,0.0008965239643901311,0.9991034760356099,"E,C,B,D,A","-0.07471146,-2.8888538,-4.3368516,-6.1308618,-7.0171857"
5,C,C,0.44681322141346397,0.5531867785865361,"C,D,B,E,A","-0.80581546,-1.2932022,-1.3584106,-3.8728187,-7.1107645"
6,D,D,0.12839759633445536,0.8716024036655446,"E,D,B,C,A","-0.18811217,-2.0528069,-3.698986,-4.0135612,-9.177374"
7,C,C,0.00010318435547021443,0.9998968156445298,"A,E,D,C,B","-0.27971557,-1.4124212,-8.473172,-9.179046,-9.390494"
8,A,A,0.036728330897113214,0.9632716691028868,"B,E,D,A,C","-0.25309157,-2.040777,-2.9111955,-3.3042676,-6.0002956"
9,C,C,0.001630692589495949,0.998369307410504,"D,A,C,B,E","-0.012361426,-4.7201195,-6.4188385,-6.6967087,-7.780838"
10,C,C,0.8978204555792878,0.1021795444207122,"C,B,A,E,D","-0.10789194,-2.339984,-5.515691,-6.643071,-7.57467"
11,A,A,0.005848900310705357,0.9941510996892946,"D,C,E,B,A","-0.39762658,-1.5134561,-2.4204423,-4.3389163,-5.14166"
12,B,B,0.002946090595367158,0.9970539094046328,"D,E,C,B,A","-0.012488582,-5.474826,-5.774394,-5.8274584,-6.221553"
13,C,C,0.01077479505928486,0.9892252049407151,"E,A,C,B,D","-0.05060062,-3.561028,-4.5307145,-4.63353,-8.217301"
14,C,C,0.70730392101387,0.29269607898613004,"C,A,B,D,E","-0.34639284,-1.6743271,-2.277259,-6.4883204,-6.7705374"
15,B,B,0.0012358862633003254,0.9987641137366997,"D,A,E,B,C","-0.05375275,-3.602718,-3.7525709,-6.696104,-8.278454"
16,D,D,0.005826552044115101,0.9941734479558849,"E,B,A,D,C","-0.15605955,-2.626671,-2.718363,-5.1454835,-8.463699"
17,D,D,0.0014314217443451992,0.9985685782556548,"E,C,A,B,D","-0.14358553,-2.3658068,-3.6107352,-4.48016,-6.549172"
18,E,E,0.0009002590425742482,0.9990997409574257,"D,B,E,A,C","-0.015939582,-4.290291,-7.01289,-7.1171856,-7.989378"
19,B,B,0.5534635646791491,0.44653643532085086,"B,D,E,C,A","-0.5919518,-2.065205,-2.110434,-2.1216474,-2.544026"
20,B,B,0.8375623304997379,0.16243766950026206,"B,E,A,C,D","-0.17736357,-1.8537476,-5.7974386,-6.1399145,-7.450164"
21,B,B,0.08437914536852258,0.9156208546314775,"E,B,C,D,A","-0.15101898,-2.4726534,-2.9389467,-6.392314,-6.9140673"
22,B,B,0.18496333738526968,0.8150366626147303,"C,B,E,A,D","-0.22097191,-1.687765,-4.5604496,-6.043648,-8.013895"
23,E,E,0.00017913837931013337,0.9998208616206898,"D,A,E,C,B","-0.0339548,-3.4145129,-8.627417,-8.854046,-9.1574135"
24,E,E,0.6346646589102246,0.3653353410897754,"E,C,B,D,A","-0.45484465,-1.6569264,-1.7653,-5.774499,-8.105533"
25,D,D,5.4017156469697165e-05,0.9999459828435303,"A,E,C,B,D","-0.008084355,-4.854888,-9.359677,-9.393472,-9.826247"
26,E,E,0.3286818377680298,0.6713181622319702,"C,E,A,B,D","-0.40057033,-1.1127992,-7.2663503,-7.487433,-10.364681"
27,A,A,0.9813644096018554,0.018635590398144553,"A,D,C,B,E","-0.018864833,-4.248782,-5.6940413,-7.2327356,-8.237773"
28,D,D,0.00016678267345561148,0.9998332173265444,"B,A,E,C,D","-0.0105686765,-5.090292,-5.703766,-7.13266,-8.698877"
29,A,A,0.9928421521994055,0.0071578478005944746,"A,E,B,C,D","-0.0072532967,-5.0929427,-7.2920527,-8.1471615,-9.966671"
30,C,C,0.00023019342200189893,0.9997698065779981,"A,B,E,D,C","-0.007923634,-5.1173806,-6.706801,-8.073972,-8.376727"
31,B,B,0.6267309870312832,0.37326901296871684,"B,C,E,A,D","-0.4673958,-0.9965534,-6.081812,-6.484329,-8.296898"
32,E,E,0.053104387914028474,0.9468956120859715,"B,A,C,D,E","-0.7621061,-1.5277388,-1.6809676,-2.5656054,-2.9356234"
33,E,E,0.8778002902480981,0.12219970975190186,"E,D,B,C,A","-0.13045463,-2.669105,-3.0034137,-5.7544265,-9.374298"
34,C,C,0.003372009230017505,0.9966279907699825,"D,E,B,C,A","-0.049056925,-3.3406906,-4.8085537,-5.6923466,-7.0950966"
35,C,C,0.748124315620961,0.25187568437903896,"C,B,E,A,D","-0.29030743,-1.3918165,-6.6239543,-6.7146697,-7.292381"
36,E,E,0.20162218654041192,0.798377813459588,"C,E,B,D,A","-0.36223227,-1.6014729,-2.359682,-5.177637,-6.177696"
37,C,C,0.07947922515486103,0.920520774845139,"D,C,A,B,E","-0.17235152,-2.5323274,-2.7767904,-4.3591876,-5.5864253"
