index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.27263173069858787,0.7273682693014121,"E,A,C,B,D","-0.48184648156166077,-1.5755964517593384,-1.7474714517593384,-7.138096332550049,-7.763096332550049"
2,B,B,0.8610711466295492,0.1389288533704508,"B,A,C,E,D","-0.0005600620643235743,-7.641185283660889,-9.93805980682373,-10.60993480682373,-12.14118480682373"
3,E,E,0.7006281452656846,0.2993718547343154,"E,A,C,B,D","-0.006416097283363342,-5.459541320800781,-6.928291320800781,-7.209541320800781,-7.787666320800781"
4,A,A,0.2860634143738876,0.7139365856261124,"E,A,C,D,B","-0.18058247864246368,-1.9462075233459473,-3.8055825233459473,-9.102457046508789,-10.180582046508789"
5,C,C,0.9038042426583123,0.09619575734168773,"C,D,B,E,A","-0.0003476209531072527,-8.000348091125488,-11.828473091125488,-12.656598091125488,-17.594097137451172"
6,D,D,0.7725258328603879,0.2274741671396121,"D,E,C,B,A","-0.01488606445491314,-4.218010902404785,-10.124260902404785,-13.843010902404785,-16.7648868560791"
7,C,C,0.5770584295418016,0.42294157045819836,"C,A,E,B,D","-0.19062967598438263,-1.7531297206878662,-8.550004959106445,-9.003129959106445,-11.346879959106445"
8,A,A,0.6170561449996844,0.3829438550003156,"A,D,C,B,E","-0.1066378802061081,-2.294137954711914,-8.653512954711914,-9.356637954711914,-10.200387954711914"
9,C,C,0.6478947730515426,0.35210522694845736,"C,D,A,E,B","-0.10031752288341522,-2.3503174781799316,-9.14719295501709,-12.75656795501709,-14.83469295501709"
10,C,C,0.9367550406053743,0.06324495939462571,"C,B,E,D,A","-0.00011903966515092179,-9.06261920928955,-14.10949420928955,-14.48449420928955,-19.156368255615234"
11,A,A,0.7355487714356451,0.2644512285643549,"A,D,E,C,B","-0.0061713517643511295,-5.209296226501465,-8.209296226501465,-8.349921226501465,-8.646796226501465"
12,B,B,0.5361956901365856,0.46380430986341437,"B,D,A,E,C","-0.2529536783695221,-1.5029536485671997,-7.15920352935791,-8.67482852935791,-9.53420352935791"
13,C,C,0.1907379560993675,0.8092620439006325,"E,C,A,D,B","-0.031052032485604286,-3.6560521125793457,-5.406052112579346,-8.984176635742188,-9.015426635742188"
14,C,C,0.9741424129701894,0.025857587029810558,"C,E,B,A,D","-2.816093228830141e-06,-12.98437786102295,-15.20312786102295,-16.375001907348633,-17.640626907348633"
15,B,B,0.2532326524269491,0.746767347573051,"D,B,C,E,A","-0.1693182736635208,-2.247443199157715,-2.997443199157715,-9.356818199157715,-9.919318199157715"
16,D,D,0.30620341831050746,0.6937965816894925,"A,D,C,E,B","-0.6430951952934265,-1.0493452548980713,-2.2055952548980713,-4.299345016479492,-7.893095016479492"
17,D,D,0.11237444113545565,0.8876255588645443,"E,C,D,A,B","-0.28053218126296997,-1.4524071216583252,-4.639907360076904,-7.546157360076904,-7.796157360076904"
