index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,D,D,0.2633263725602846,0.7366736274397154,"A,D,B,E,C","-0.32424265,-1.6960497,-2.4113226,-6.0491686,-6.5907927"
2,D,D,0.29876523597094834,0.7012347640290517,"A,D,E,C,B","-0.58309394,-1.0954077,-2.4388087,-3.9485133,-7.0913796"
3,B,B,0.3565355468881422,0.6434644531118578,"B,C,D,E,A","-0.35271364,-1.8116713,-2.8390837,-3.18966,-3.3772802"
4,E,E,0.1365793142817607,0.8634206857182393,"D,C,E,B,A","-0.022835648,-4.4981794,-4.5823145,-6.9055376,-8.6131315"
5,C,C,0.20460455231716343,0.7953954476828365,"D,A,C,E,B","-0.5799948,-1.3489195,-1.9750391,-3.791287,-3.9512277"
6,B,B,0.08423517523113414,0.9157648247688659,"A,D,B,E,C","-0.06463842,-2.8521674,-5.846104,-6.4047227,-8.184242"
7,C,C,0.05515844220250098,0.944841557797499,"E,B,A,C,D","-0.07900888,-3.0373828,-3.6351326,-6.8989325,-7.467271"
8,E,E,0.5509275121648809,0.4490724878351191,"E,A,B,C,D","-0.13124968,-2.1282208,-6.072725,-6.5317206,-9.450538"
9,A,A,0.1901834808344708,0.8098165191655292,"B,E,C,A,D","-0.7207065,-1.330627,-2.0123954,-2.17456,-6.284433"
10,A,A,0.35872623619698035,0.6412737638030197,"A,E,D,C,B","-0.7254403,-0.916097,-2.170499,-6.9021583,-7.518949"
11,D,D,0.08023735968815829,0.9197626403118417,"C,B,E,A,D","-0.1399337,-2.195611,-4.8597994,-4.900834,-5.506776"
12,C,C,0.2652696846739928,0.7347303153260072,"B,C,E,D,A","-0.7772379,-1.2525187,-1.4811907,-3.7632494,-5.5535936"
13,C,C,0.5312540509114471,0.46874594908855294,"C,D,E,A,B","-0.07866349,-2.8686893,-4.133141,-6.549689,-6.612765"
14,E,E,0.11617595355095553,0.8838240464490444,"B,D,C,E,A","-0.4954998,-1.0542214,-3.8229458,-4.047969,-5.8459044"
15,A,A,0.4660357824567267,0.5339642175432733,"A,B,E,D,C","-0.21232285,-1.9503046,-3.0729854,-5.9397054,-9.087386"
16,E,E,0.10327015147697238,0.8967298485230276,"D,A,C,E,B","-0.3317276,-1.5306946,-2.9275928,-4.458118,-7.1509852"
17,B,B,0.4105209039733256,0.5894790960266745,"B,A,E,D,C","-0.39011592,-1.3132422,-2.999491,-5.745201,-6.9056015"
18,A,A,0.23572657389805496,0.764273426101945,"D,A,B,C,E","-0.058928836,-2.8960125,-6.8155856,-7.6914077,-7.805885"
19,D,D,0.3494401198548177,0.6505598801451823,"A,D,B,C,E","-0.24821837,-1.52013,-7.2674026,-8.302946,-9.015156"
20,B,B,0.3584799311795885,0.6415200688204115,"B,A,E,C,D","-0.63769025,-1.1067665,-1.9857032,-6.1241994,-6.630652"
21,C,C,0.3751556335262765,0.6248443664737235,"C,D,B,A,E","-0.26636824,-2.2715085,-3.0640633,-3.1325924,-3.2102635"
22,C,C,0.34160939634178555,0.6583906036582144,"A,C,B,D,E","-0.7308204,-0.8114383,-2.67615,-5.853772,-6.0104322"
23,A,A,0.06235446822055942,0.9376455317794405,"D,C,E,B,A","-0.3774048,-1.1914173,-5.0917373,-6.0259166,-6.2515674"
24,E,E,0.20384863589534913,0.7961513641046509,"A,B,E,C,D","-0.49216634,-1.2255075,-2.3943021,-5.9980736,-6.6362114"
25,E,E,0.06249474844228645,0.9375052515577136,"B,C,A,E,D","-0.008975103,-4.91833,-7.1637125,-7.2617464,-8.972547"
26,C,C,0.09311686057090453,0.9068831394290955,"E,B,A,C,D","-0.1908598,-2.0478373,-3.275115,-5.0068464,-8.647084"
27,E,E,0.3561684684062304,0.6438315315937696,"E,A,D,B,C","-0.73346287,-0.73885113,-3.3593001,-5.615541,-5.6183887"
28,E,E,0.13840857263891368,0.8615914273610863,"C,B,E,A,D","-0.5928345,-0.86335564,-3.7856598,-5.956049,-8.730295"
29,E,E,0.20033061471661112,0.7996693852833889,"D,A,E,C,B","-0.15836398,-2.4243171,-2.8655803,-7.2716985,-8.81704"
30,E,E,0.3117858658587119,0.6882141341412882,"E,C,D,B,A","-0.8295323,-1.0836008,-1.6708677,-3.3027647,-7.904102"
31,A,A,0.11392611979842829,0.8860738802015717,"E,B,A,C,D","-0.07327597,-2.8043513,-4.849178,-6.209146,-8.988404"
32,A,A,0.4552680533532799,0.5447319466467201,"A,C,E,D,B","-0.32428592,-1.3295693,-4.6967416,-5.9726644,-7.34664"
