index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.9928961126029623,0.0071038873970377114,"A,E,B,D,C","0.0,-17.421875,-18.03125,-21.140625,-21.296875"
2,"A,B,C,D",A,0.9632409934175101,0.03675900658248987,"A,B,C,E,D","-1.1279553291387856e-05,-11.500011444091797,-14.046886444091797,-15.734386444091797,-18.656261444091797"
3,B,B,0.9983247379267571,0.001675262073242867,"B,A,C,D,E","0.0,-22.8125,-22.890625,-23.84375,-23.953125"
4,B,B,0.9320930967903689,0.06790690320963111,"B,A,C,E,D","-7.636475493200123e-05,-9.531326293945312,-13.312576293945312,-13.500076293945312,-14.406326293945312"
5,"A,B,D",A,0.7219227447796165,0.2780772552203835,"A,D,B,E,C","-0.010683808475732803,-4.963809013366699,-5.620059013366699,-11.4638090133667,-12.1981840133667"
6,B,B,0.997322637104835,0.0026773628951649586,"B,D,C,A,E","-1.9361264946837764e-07,-21.359375,-21.375,-22.0,-23.34375"
7,C,C,0.9767818622765968,0.023218137723403198,"C,B,E,D,A","-2.339278580620885e-06,-13.281251907348633,-14.500001907348633,-17.593751907348633,-20.656251907348633"
8,"A,C,D",A,0.9454079755552145,0.0545920244447855,"A,C,B,E,D","-2.6656825866666622e-05,-10.68752670288086,-12.85940170288086,-13.95315170288086,-15.31252670288086"
9,C,C,0.9976222678707958,0.002377732129204224,"C,E,B,D,A","0.0,-20.984375,-22.03125,-22.46875,-24.75"
10,C,C,0.9682140690466856,0.03178593095331439,"C,E,A,D,B","-3.292907877039397e-06,-12.98437786102295,-14.51562786102295,-14.92187786102295,-16.015628814697266"
11,"A,B,D",B,0.6775624620777133,0.3224375379222867,"B,A,D,E,C","-0.07210096716880798,-2.665850877761841,-10.962725639343262,-12.525225639343262,-13.243975639343262"
12,A,A,0.9986393636574603,0.0013606363425396895,"A,B,E,C,D","0.0,-22.984375,-23.703125,-23.984375,-25.796875"
13,A,A,0.9893751135361222,0.010624886463877825,"A,E,B,C,D","-4.320199877838604e-07,-15.15625,-18.234375,-20.640625,-20.65625"
14,"A,B,D",A,0.7815703660392382,0.21842963396076176,"A,B,D,E,C","-0.010411080904304981,-4.572911262512207,-10.932286262512207,-11.713536262512207,-12.713536262512207"
15,D,D,0.9980702298802746,0.0019297701197253936,"D,C,E,B,A","0.0,-21.75,-21.875,-24.0,-25.453125"
16,"A,B,E",A,0.8251941261110561,0.17480587388894386,"A,E,B,C,D","-0.001999534899368882,-6.439499378204346,-7.830124378204346,-13.126999855041504,-14.236374855041504"
17,"A,B,C",A,0.9543108690676865,0.045689130932313526,"A,B,C,E,D","-4.179569077678025e-05,-10.093791961669922,-15.171916961669922,-16.953166961669922,-17.031291961669922"
18,"A,D,E",A,0.8727068799872512,0.12729312001274884,"A,D,B,E,C","-0.0002967320033349097,-8.422171592712402,-10.265921592712402,-10.328421592712402,-11.609671592712402"
19,D,D,0.9481211842059439,0.051878815794056066,"D,B,C,E,A","-1.4378848391061183e-05,-11.703139305114746,-12.484389305114746,-13.296889305114746,-14.875014305114746"
20,C,C,0.9433633837314788,0.056636616268521234,"C,E,A,B,D","-2.641841820150148e-05,-10.75002670288086,-12.78127670288086,-13.81252670288086,-14.43752670288086"
21,B,B,0.9971860225684777,0.002813977431522341,"B,C,E,D,A","-1.9361264946837764e-07,-21.03125,-21.5,-22.03125,-22.796875"
22,E,E,0.9959427248408689,0.004057275159131124,"E,D,C,A,B","0.0,-18.203125,-21.546875,-22.703125,-22.921875"
23,B,B,0.8929691779837818,0.10703082201621816,"B,A,D,E,C","-0.000885134213604033,-7.032135009765625,-14.125885009765625,-14.360260009765625,-15.094635009765625"
