index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,"A,C",A,0.2481156250997266,0.7518843749002734,"A,B,E,C,D","-2.6729846,-3.563911,-3.8636508,-4.111938,-4.7841945"
2,"A,B",A,0.3108617553554066,0.6891382446445934,"A,B,E,D,C","-2.931052,-4.284232,-5.7811327,-5.7928896,-8.562016"
3,B,B,0.2214675544108518,0.7785324455891482,"C,A,B,E,D","-2.9485717,-3.277286,-3.6769366,-4.9443793,-7.150516"
4,"B,D",B,0.2222345490991432,0.7777654509008568,"A,B,E,C,D","-2.0926952,-3.3857956,-4.0342045,-4.759632,-6.2273197"
5,"A,C",C,0.28986692670461395,0.7101330732953861,"C,A,B,E,D","-2.5424867,-4.321982,-4.5312066,-4.75256,-6.7075067"
6,B,B,0.16001492152456306,0.8399850784754369,"C,D,A,E,B","-2.145018,-3.6729722,-3.6948323,-3.986033,-4.67936"
7,"B,D",B,0.19845754630652312,0.8015424536934769,"A,E,B,D,C","-2.5694935,-3.7108433,-3.8124535,-4.0336523,-5.0586863"
8,"A,B",B,0.28380487876715066,0.7161951212328493,"B,A,E,D,C","-2.89073,-3.6184444,-5.0636024,-5.367651,-7.44578"
9,C,C,0.205944975635899,0.794055024364101,"D,C,B,E,A","-2.2297852,-2.913894,-3.163808,-3.498443,-3.6209576"
10,"A,C",A,0.2637008806375927,0.7362991193624073,"A,B,E,C,D","-2.647304,-3.5545287,-3.8230414,-4.2573905,-6.718555"
11,"A,D",D,0.28621611394084673,0.7137838860591532,"D,A,C,E,B","-2.4680233,-3.8897285,-4.6518764,-5.238598,-5.7313786"
12,B,B,0.22895732072432612,0.7710426792756739,"C,A,B,E,D","-2.6918726,-2.735652,-3.1662092,-5.0219316,-6.7509375"
13,"A,D",D,0.2518367480909123,0.7481632519090877,"D,E,A,C,B","-2.3313215,-3.3778722,-3.5391443,-4.1948447,-4.2199683"
14,"B,C",B,0.29616901894671044,0.7038309810532896,"B,C,E,A,D","-2.837331,-4.1469626,-4.9864287,-5.683618,-7.541393"
15,C,C,0.1600296644890889,0.8399703355109112,"B,A,D,E,C","-2.5365741,-2.9334724,-3.0797527,-3.856631,-4.4376454"
