index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.22699313299758556,0.7730068670024144,"B,E,A,D,C","-3.1089878,-3.2890072,-3.6938744,-5.8673134,-6.687454"
2,"A,B,C,D",A,0.2645737307373389,0.7354262692626611,"A,C,E,B,D","-3.1784914,-4.1642056,-4.726839,-5.1700134,-6.1364613"
3,B,B,0.33043224481396205,0.669567755186038,"B,A,C,E,D","-1.5595468,-4.20775,-4.8114676,-5.010549,-5.966558"
4,B,B,0.21559217638160041,0.7844078236183996,"E,B,A,D,C","-2.6427112,-3.4642882,-3.7778888,-3.9342113,-5.9333262"
5,"A,B,D",B,0.22489510488759146,0.7751048951124085,"C,B,E,A,D","-2.8842676,-3.0255315,-3.991844,-4.032066,-4.293966"
6,B,B,0.32344474614814267,0.6765552538518573,"B,E,C,A,D","-1.8849274,-3.744745,-4.881664,-5.6686244,-6.670816"
7,C,C,0.23229871111068853,0.7677012888893114,"E,C,B,A,D","-2.1805553,-3.095419,-3.5793247,-5.037966,-6.3823986"
8,"A,C,D",C,0.21198987244507828,0.7880101275549217,"B,C,A,E,D","-3.206033,-3.8178322,-4.216134,-4.2173414,-5.3205957"
9,C,C,0.31568125189420443,0.6843187481057955,"C,E,A,D,B","-2.0603116,-2.8883965,-4.7363825,-6.838992,-7.3050146"
10,C,C,0.18268939915533353,0.8173106008446664,"E,D,A,C,B","-2.9234893,-3.1435115,-3.669875,-4.020575,-4.2037683"
11,"A,B,D",B,0.2258564412450257,0.7741435587549743,"B,A,C,E,D","-3.3340764,-3.5562596,-3.9044213,-4.5142465,-4.518357"
12,A,A,0.2950221180261614,0.7049778819738386,"A,C,B,E,D","-2.2700655,-3.6555712,-4.554238,-5.5150533,-5.984442"
13,A,A,0.1724884687958833,0.8275115312041167,"B,E,D,A,C","-2.7621355,-2.9865866,-3.768693,-4.6631784,-6.164542"
14,"A,B,D",B,0.25233240697084525,0.7476675930291548,"B,C,A,E,D","-3.0623794,-4.0721316,-4.1065116,-4.900909,-5.277948"
15,D,D,0.34465133608727067,0.6553486639127293,"D,E,A,C,B","-1.9932344,-4.365383,-5.401951,-6.668751,-6.818495"
