index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,A,A,0.22701554410232125,0.7729844558976787,"B,E,A,D,C","-3.0748932,-3.2972882,-3.6636384,-5.8625827,-6.6618133"
2,"A,B,C,D",A,0.5636396038486969,0.43636039615130306,"A,C,E,B,D","-3.1784914,-4.1642056,-4.726839,-5.1700134,-6.1364613"
3,B,B,0.875492622581115,0.12450737741888496,"B,A,C,E,D","-1.5699999,-4.3198376,-4.84647,-5.085182,-6.100792"
4,B,B,0.21373650344212222,0.7862634965578778,"E,B,A,D,C","-2.6330419,-3.4347348,-3.750588,-3.8855367,-5.922894"
5,"A,B,D",B,0.3145675923888678,0.6854324076111322,"C,B,E,A,D","-2.8842676,-3.0255315,-3.991844,-4.032066,-4.293966"
6,B,B,0.8085799964163137,0.19142000358368627,"B,E,C,A,D","-1.8849274,-3.744745,-4.881664,-5.6686244,-6.670816"
7,C,C,0.23077431059211137,0.7692256894078886,"E,C,B,A,D","-2.1582067,-3.0881917,-3.569803,-5.0303307,-6.369402"
8,"A,C,D",C,0.22684128827435956,0.7731587117256404,"B,C,A,E,D","-3.206033,-3.8178322,-4.216134,-4.2173414,-5.3205957"
9,C,C,0.6581542254410911,0.34184577455890885,"C,E,A,D,B","-2.0603116,-2.8883965,-4.7363825,-6.838992,-7.3050146"
10,C,C,0.11558124594333363,0.8844187540566664,"E,D,A,C,B","-2.9234893,-3.1435115,-3.669875,-4.020575,-4.2037683"
11,"A,B,D",B,0.33565024191550585,0.6643497580844941,"B,A,C,E,D","-3.3340764,-3.5562596,-3.9044213,-4.5142465,-4.518357"
12,A,A,0.7065164409952426,0.2934835590047574,"A,C,B,E,D","-2.2700655,-3.6555712,-4.554238,-5.5150533,-5.984442"
13,A,A,0.06364858260952516,0.9363514173904748,"B,E,D,A,C","-2.764466,-2.9840972,-3.766051,-4.6629205,-6.15663"
14,"A,B,D",B,0.5067435766571631,0.4932564233428369,"B,C,A,E,D","-3.039565,-4.0492144,-4.083564,-4.9445333,-5.263648"
15,D,D,0.8743483643530119,0.1256516356469881,"D,E,A,C,B","-1.9932344,-4.365383,-5.401951,-6.668751,-6.818495"
16,"A,B,E",E,0.3510906648609538,0.6489093351390463,"E,B,C,A,D","-3.5800726,-4.0992947,-4.3822193,-4.4715633,-4.50926"
17,"A,B,C",A,0.4559228200894257,0.5440771799105744,"A,B,D,C,E","-2.747207,-3.604356,-3.926246,-4.0324297,-4.4355783"
18,"A,D,E",E,0.23839034932511857,0.7616096506748814,"C,E,D,A,B","-2.9562337,-3.1527116,-3.2274606,-3.6822965,-3.9273584"
19,D,D,0.3059161148016931,0.6940838851983069,"E,D,B,C,A","-2.4096735,-2.824209,-3.825647,-4.2541847,-4.7311306"
20,C,C,0.2604721014373526,0.7395278985626474,"B,C,D,A,E","-2.9117599,-2.9505897,-3.2321067,-3.447288,-3.7797523"
21,B,B,0.1970466932961169,0.8029533067038831,"D,E,B,C,A","-2.5614645,-3.0128329,-3.322882,-4.4871426,-4.677738"
22,E,E,0.100267675532992,0.899732324467008,"C,B,D,A,E","-3.0280128,-3.302011,-3.808416,-4.138698,-4.287002"
