index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,"A,C",A,0.4822487257446578,0.5177512742553422,"A,B,E,C,D","-2.7147222,-3.5940423,-3.9069352,-4.1745343,-4.812531"
2,"A,B",A,0.7261218670886983,0.2738781329113017,"A,B,E,D,C","-2.9318526,-4.285799,-5.779257,-5.790083,-8.559999"
3,B,B,0.20510504311256675,0.7948949568874333,"C,A,B,E,D","-2.9485717,-3.277286,-3.6769366,-4.9443793,-7.150516"
4,"B,D",B,0.18075710754981095,0.8192428924501891,"A,B,E,C,D","-2.1379046,-3.3981147,-3.7748504,-4.8127513,-5.961904"
5,"A,C",C,0.6989019763143538,0.3010980236856462,"C,A,B,E,D","-2.5424867,-4.321982,-4.5312066,-4.75256,-6.7075067"
6,B,B,0.047572063780115574,0.9524279362198844,"C,D,A,E,B","-2.145018,-3.6729722,-3.6948323,-3.986033,-4.67936"
7,"B,D",B,0.1493235321941664,0.8506764678058336,"A,E,B,D,C","-2.574638,-3.722322,-3.8270774,-4.051252,-5.0705333"
8,"A,B",B,0.5911857777231274,0.4088142222768726,"B,A,E,D,C","-2.8899946,-3.6169786,-5.0640745,-5.3679247,-7.4443235"
9,C,C,0.20784318692889667,0.7921568130711033,"D,C,B,E,A","-2.2297852,-2.913894,-3.163808,-3.498443,-3.6209576"
10,"A,C",A,0.0967402412654739,0.9032597587345261,"B,D,E,A,C","-2.8273013,-3.3772013,-3.6431944,-4.3287125,-5.621437"
11,B,B,0.6506053176967612,0.3493946823032388,"B,A,E,D,C","-2.3359673,-3.9180996,-4.0370035,-4.3308287,-6.6813173"
12,"A,C",A,0.1853220322332749,0.8146779677667251,"B,E,A,D,C","-2.797358,-3.2156606,-3.567206,-4.26508,-4.713948"
13,"A,C",A,0.5025960908992837,0.4974039091007163,"A,B,E,C,D","-2.766578,-3.4546692,-4.0453753,-4.4110656,-6.9237666"
14,"A,D",D,0.6873821568889813,0.3126178431110187,"D,A,C,E,B","-2.4680233,-3.8897285,-4.6518764,-5.238598,-5.7313786"
15,B,B,0.2309924254228725,0.7690075745771275,"C,A,B,E,D","-2.6918726,-2.735652,-3.1662092,-5.0219316,-6.7509375"
16,"A,D",D,0.5082334407044369,0.4917665592955631,"D,E,A,C,B","-2.3207731,-3.3666658,-3.5162306,-4.159257,-4.187701"
17,"B,C",B,0.6878841506934229,0.3121158493065771,"B,C,E,A,D","-2.8399765,-4.1494346,-4.988214,-5.686664,-7.5459666"
18,C,C,0.055997886751829234,0.9440021132481707,"B,A,D,E,C","-2.5384562,-2.9336588,-3.0805018,-3.856129,-4.437878"
