source_file,header_row,column,domain_code,domain,condition_id,condition,scenario_id,scenario,label,question_rows,correct,total,accuracy,task_success
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,5,13,T,Tomato harvesting,5,KnowNo,4,Scenario 4,T5(s4),4,4,4,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,16,1,R,Waste sorting,3,Ours1,3,Scenario 3,R3(s3)-분리수거Ours1,3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,16,5,R,Waste sorting,5,KnowNo,4,Scenario 4,R5(s4),4,2,4,0.5,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,16,9,T,Tomato harvesting,4,Ours2,2,Scenario 2,T4(s2),4,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,16,13,T,Tomato harvesting,3,Ours1,2,Scenario 2,T3(s2),3,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,28,1,R,Waste sorting,1,All,1,Scenario 1,R1(s1)-분리수거ALL,9,11,12,0.9166666666666666,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,28,5,R,Waste sorting,4,Ours2,2,Scenario 2,R4(s2),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,28,9,T,Tomato harvesting,5,KnowNo,3,Scenario 3,T5(s3),3,3,3,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,28,13,T,Tomato harvesting,1,All,1,Scenario 1,T1(s1),10,14,14,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,40,1,R,Waste sorting,4,Ours2,2,Scenario 2,R4(s2)-분리수거Ours2,3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,40,5,R,Waste sorting,1,All,3,Scenario 3,R1(s3),10,12,12,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,40,9,T,Tomato harvesting,1,All,1,Scenario 1,T1(s1),10,14,14,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,52,1,R,Waste sorting,5,KnowNo,4,Scenario 4,R5(s4)-분리수거KnowNo,4,2,4,0.5,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,52,5,R,Waste sorting,3,Ours1,5,Scenario 5,R3(s5),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,52,9,T,Tomato harvesting,3,Ours1,4,Scenario 4,T3(s4),4,8,8,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,52,13,T,Tomato harvesting,4,Ours2,5,Scenario 5,T4(s5),3,6,6,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,64,1,T,Tomato harvesting,1,All,2,Scenario 2,T1(s2),10,13,14,0.9285714285714286,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,76,1,T,Tomato harvesting,5,KnowNo,1,Scenario 1,T5(s1),4,4,4,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,76,5,T,Tomato harvesting,4,Ours2,5,Scenario 5,T4(s5),3,5,6,0.8333333333333334,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,76,9,R,Waste sorting,3,Ours1,3,Scenario 3,R3(s3),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,76,13,R,Waste sorting,3,Ours1,4,Scenario 4,R3(s4),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,87,5,T,Tomato harvesting,1,All,4,Scenario 4,T1(s4),10,13,14,0.9285714285714286,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,87,9,R,Waste sorting,5,KnowNo,5,Scenario 5,R5(s5),4,3,4,0.75,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,87,13,R,Waste sorting,5,KnowNo,1,Scenario 1,R5(s1),3,2,3,0.6666666666666666,0
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,98,1,T,Tomato harvesting,4,Ours2,4,Scenario 4,T4(s4),3,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,98,5,T,Tomato harvesting,3,Ours1,3,Scenario 3,T3(s3),3,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,98,9,R,Waste sorting,4,Ours2,1,Scenario 1,R4(s1),3,6,6,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,98,13,R,Waste sorting,4,Ours2,2,Scenario 2,R4(s2),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,109,1,T,Tomato harvesting,3,Ours1,3,Scenario 3,T3(s3),3,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,109,5,T,Tomato harvesting,5,KnowNo,1,Scenario 1,T5(s1),4,4,4,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,109,9,R,Waste sorting,1,All,4,Scenario 4,R1(s4),10,12,12,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월1일.csv,109,13,R,Waste sorting,1,All,5,Scenario 5,R1(s5),10,12,12,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,3,2,T,Tomato harvesting,1,All,3,Scenario 3,T1(s3),10,14,14,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,3,6,R,Waste sorting,4,Ours2,3,Scenario 3,R4(s3),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,3,11,R,Waste sorting,4,Ours2,4,Scenario 4,R4(s4),3,4,4,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,14,2,T,Tomato harvesting,4,Ours2,5,Scenario 5,T4(s5),3,6,6,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,14,11,R,Waste sorting,5,KnowNo,3,Scenario 3,R5(s3),3,3,3,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,26,2,T,Tomato harvesting,5,KnowNo,2,Scenario 2,T5(s2),4,4,4,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,26,6,R,Waste sorting,1,All,1,Scenario 1,R1(s1),9,12,12,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,26,11,R,Waste sorting,1,All,1,Scenario 1,R1(s1),9,12,12,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,38,6,R,Waste sorting,5,KnowNo,4,Scenario 4,R5(s4),4,3,4,0.75,0
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,38,11,R,Waste sorting,3,Ours1,5,Scenario 5,R3(s5),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,50,2,T,Tomato harvesting,3,Ours1,4,Scenario 4,T3(s4),4,7,8,0.875,0
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,50,6,R,Waste sorting,3,Ours1,2,Scenario 2,R3(s2),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,62,2,R,Waste sorting,5,KnowNo,4,Scenario 4,R5(s4),4,2,4,0.5,0
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,62,6,T,Tomato harvesting,1,All,4,Scenario 4,T1(s4),10,13,13,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,62,11,T,Tomato harvesting,3,Ours1,4,Scenario 4,T3(s4),4,7,8,0.875,0
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,74,2,R,Waste sorting,3,Ours1,1,Scenario 1,R3(s1),2,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,74,6,T,Tomato harvesting,3,Ours1,5,Scenario 5,T3(s5),3,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,74,11,T,Tomato harvesting,1,All,2,Scenario 2,T1(s2),10,14,14,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,85,2,R,Waste sorting,4,Ours2,2,Scenario 2,R4(s2),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,85,6,T,Tomato harvesting,5,KnowNo,2,Scenario 2,T5(s2),4,4,4,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,96,2,R,Waste sorting,1,All,3,Scenario 3,R1(s3),10,12,12,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,96,6,T,Tomato harvesting,4,Ours2,1,Scenario 1,T4(s1),4,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,96,11,T,Tomato harvesting,4,Ours2,5,Scenario 5,T4(s5),3,6,6,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월2일.csv,107,11,T,Tomato harvesting,5,KnowNo,3,Scenario 3,T5(s3),3,3,3,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,3,7,T,Tomato harvesting,1,All,1,Scenario 1,T1(s1),10,12,14,0.8571428571428571,0
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,14,2,R,Waste sorting,1,All,4,Scenario 4,R1(s4),10,12,12,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,14,7,T,Tomato harvesting,4,Ours2,4,Scenario 4,T4(s4),3,6,7,0.8571428571428571,0
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,26,2,R,Waste sorting,4,Ours2,2,Scenario 2,R4(s2),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,26,7,T,Tomato harvesting,5,KnowNo,5,Scenario 5,T5(s5),3,2,3,0.6666666666666666,0
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,38,2,R,Waste sorting,3,Ours1,5,Scenario 5,R3(s5),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,38,7,T,Tomato harvesting,3,Ours1,2,Scenario 2,T3(s2),3,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,50,2,R,Waste sorting,5,KnowNo,1,Scenario 1,R5(s1),3,2,3,0.6666666666666666,0
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,62,2,T,Tomato harvesting,1,All,5,Scenario 5,T1(s5),10,11,13,0.8461538461538461,0
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,62,7,R,Waste sorting,5,KnowNo,4,Scenario 4,R5(s4),4,3,4,0.75,0
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,85,2,T,Tomato harvesting,3,Ours1,1,Scenario 1,T3(s1),4,8,8,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,85,7,R,Waste sorting,1,All,5,Scenario 5,R1(s5),10,11,12,0.9166666666666666,0
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,96,2,T,Tomato harvesting,5,KnowNo,3,Scenario 3,T5(s3),3,3,3,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,96,7,R,Waste sorting,3,Ours1,2,Scenario 2,R3(s2),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,107,2,T,Tomato harvesting,4,Ours2,4,Scenario 4,T4(s4),3,7,7,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월3일.csv,107,7,R,Waste sorting,4,Ours2,3,Scenario 3,R4(s3),3,5,5,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월4일.csv,3,2,R,Waste sorting,4,Ours2,4,Scenario 4,R4(s4),3,4,4,1.0,1
BRL_논문_타임라인 정리.xlsx - 6월4일.csv,3,6,R,Waste sorting,1,All,3,Scenario 3,R1(s3),10,13,13,1.0,1
