domain,condition,scenario,time_type,n,mean_seconds,std_seconds,mean_minutes,std_minutes,mean_hms,std_hms
분리수거,ALL,1,operation,5,23.600,32.624,0.393,0.544,0:24,0:33
분리수거,ALL,2,operation,0,,,,,,
분리수거,ALL,3,operation,3,21.667,18.824,0.361,0.314,0:22,0:19
분리수거,ALL,4,operation,2,21.000,9.899,0.350,0.165,0:21,0:10
분리수거,ALL,5,operation,2,22.500,13.435,0.375,0.224,0:22,0:13
분리수거,No,1,operation,2,0.500,0.707,0.008,0.012,0:00,0:01
분리수거,No,2,operation,4,0.750,0.957,0.013,0.016,0:01,0:01
분리수거,No,3,operation,2,0.500,0.707,0.008,0.012,0:00,0:01
분리수거,No,4,operation,0,,,,,,
분리수거,No,5,operation,4,0.000,0.000,0.000,0.000,0:00,0:00
분리수거,Ours1,1,operation,1,0.000,0.000,0.000,0.000,0:00,0:00
분리수거,Ours1,2,operation,2,2.500,3.536,0.042,0.059,0:02,0:04
분리수거,Ours1,3,operation,3,14.333,5.508,0.239,0.092,0:14,0:06
분리수거,Ours1,4,operation,3,11.333,2.309,0.189,0.038,0:11,0:02
분리수거,Ours1,5,operation,3,6.333,5.508,0.106,0.092,0:06,0:06
분리수거,Ours2,1,operation,2,13.500,6.364,0.225,0.106,0:14,0:06
분리수거,Ours2,2,operation,5,6.800,4.970,0.113,0.083,0:07,0:05
분리수거,Ours2,3,operation,2,4.500,6.364,0.075,0.106,0:04,0:06
분리수거,Ours2,4,operation,3,6.667,5.859,0.111,0.098,0:07,0:06
분리수거,Ours2,5,operation,0,,,,,,
분리수거,KnowNo,1,operation,2,16.000,1.414,0.267,0.024,0:16,0:01
분리수거,KnowNo,2,operation,1,25.000,0.000,0.417,0.000,0:25,0:00
분리수거,KnowNo,3,operation,1,0.000,0.000,0.000,0.000,0:00,0:00
분리수거,KnowNo,4,operation,5,12.200,11.946,0.203,0.199,0:12,0:12
분리수거,KnowNo,5,operation,3,48.333,17.039,0.806,0.284,0:48,0:17
분리수거,ALL,1,survey,5,78.400,72.549,1.307,1.209,1:18,1:13
분리수거,ALL,2,survey,0,,,,,,
분리수거,ALL,3,survey,3,87.000,77.130,1.450,1.285,1:27,1:17
분리수거,ALL,4,survey,2,114.000,18.385,1.900,0.306,1:54,0:18
분리수거,ALL,5,survey,2,85.000,2.828,1.417,0.047,1:25,0:03
분리수거,No,1,survey,2,128.000,60.811,2.133,1.014,2:08,1:01
분리수거,No,2,survey,4,76.750,55.301,1.279,0.922,1:17,0:55
분리수거,No,3,survey,2,120.500,28.991,2.008,0.483,2:00,0:29
분리수거,No,4,survey,0,,,,,,
분리수거,No,5,survey,4,105.750,146.215,1.762,2.437,1:46,2:26
분리수거,Ours1,1,survey,1,0.000,0.000,0.000,0.000,0:00,0:00
분리수거,Ours1,2,survey,2,34.000,48.083,0.567,0.801,0:34,0:48
분리수거,Ours1,3,survey,3,163.333,69.039,2.722,1.151,2:43,1:09
분리수거,Ours1,4,survey,3,92.667,17.559,1.544,0.293,1:33,0:18
분리수거,Ours1,5,survey,3,52.667,45.884,0.878,0.765,0:53,0:46
분리수거,Ours2,1,survey,2,123.000,15.556,2.050,0.259,2:03,0:16
분리수거,Ours2,2,survey,5,89.800,56.725,1.497,0.945,1:30,0:57
분리수거,Ours2,3,survey,2,35.500,50.205,0.592,0.837,0:36,0:50
분리수거,Ours2,4,survey,3,128.000,126.048,2.133,2.101,2:08,2:06
분리수거,Ours2,5,survey,0,,,,,,
분리수거,KnowNo,1,survey,2,80.000,15.556,1.333,0.259,1:20,0:16
분리수거,KnowNo,2,survey,1,94.000,0.000,1.567,0.000,1:34,0:00
분리수거,KnowNo,3,survey,1,0.000,0.000,0.000,0.000,0:00,0:00
분리수거,KnowNo,4,survey,5,66.800,63.802,1.113,1.063,1:07,1:04
분리수거,KnowNo,5,survey,3,143.000,26.907,2.383,0.448,2:23,0:27
토마토,ALL,1,operation,4,37.000,9.345,0.617,0.156,0:37,0:09
토마토,ALL,2,operation,3,26.000,22.716,0.433,0.379,0:26,0:23
토마토,ALL,3,operation,1,0.000,0.000,0.000,0.000,0:00,0:00
토마토,ALL,4,operation,3,18.000,19.672,0.300,0.328,0:18,0:20
토마토,ALL,5,operation,1,37.000,0.000,0.617,0.000,0:37,0:00
토마토,No,1,operation,2,0.000,0.000,0.000,0.000,0:00,0:00
토마토,No,2,operation,2,1.000,1.414,0.017,0.024,0:01,0:01
토마토,No,3,operation,4,0.250,0.500,0.004,0.008,0:00,0:00
토마토,No,4,operation,1,3.000,0.000,0.050,0.000,0:03,0:00
토마토,No,5,operation,3,4.667,8.083,0.078,0.135,0:05,0:08
토마토,Ours1,1,operation,1,6.000,0.000,0.100,0.000,0:06,0:00
토마토,Ours1,2,operation,3,21.000,6.557,0.350,0.109,0:21,0:07
토마토,Ours1,3,operation,3,29.667,13.051,0.494,0.218,0:30,0:13
토마토,Ours1,4,operation,3,5.667,9.815,0.094,0.164,0:06,0:10
토마토,Ours1,5,operation,2,9.000,12.728,0.150,0.212,0:09,0:13
토마토,Ours2,1,operation,1,0.000,0.000,0.000,0.000,0:00,0:00
토마토,Ours2,2,operation,1,30.000,0.000,0.500,0.000,0:30,0:00
토마토,Ours2,3,operation,1,14.000,0.000,0.233,0.000,0:14,0:00
토마토,Ours2,4,operation,4,15.500,6.557,0.258,0.109,0:16,0:07
토마토,Ours2,5,operation,5,10.400,10.040,0.173,0.167,0:10,0:10
토마토,KnowNo,1,operation,4,27.000,10.424,0.450,0.174,0:27,0:10
토마토,KnowNo,2,operation,3,4.667,8.083,0.078,0.135,0:05,0:08
토마토,KnowNo,3,operation,3,8.000,9.849,0.133,0.164,0:08,0:10
토마토,KnowNo,4,operation,1,27.000,0.000,0.450,0.000,0:27,0:00
토마토,KnowNo,5,operation,1,60.000,0.000,1.000,0.000,1:00,0:00
토마토,ALL,1,survey,4,120.250,24.418,2.004,0.407,2:00,0:24
토마토,ALL,2,survey,3,74.333,64.702,1.239,1.078,1:14,1:05
토마토,ALL,3,survey,1,0.000,0.000,0.000,0.000,0:00,0:00
토마토,ALL,4,survey,3,66.667,57.873,1.111,0.965,1:07,0:58
토마토,ALL,5,survey,1,121.000,0.000,2.017,0.000,2:01,0:00
토마토,No,1,survey,2,0.000,0.000,0.000,0.000,0:00,0:00
토마토,No,2,survey,2,91.000,4.243,1.517,0.071,1:31,0:04
토마토,No,3,survey,4,59.500,41.380,0.992,0.690,1:00,0:41
토마토,No,4,survey,1,127.000,0.000,2.117,0.000,2:07,0:00
토마토,No,5,survey,3,180.667,102.442,3.011,1.707,3:01,1:42
토마토,Ours1,1,survey,1,84.000,0.000,1.400,0.000,1:24,0:00
토마토,Ours1,2,survey,3,85.000,27.404,1.417,0.457,1:25,0:27
토마토,Ours1,3,survey,3,89.333,19.348,1.489,0.322,1:29,0:19
토마토,Ours1,4,survey,3,30.000,51.962,0.500,0.866,0:30,0:52
토마토,Ours1,5,survey,2,44.000,62.225,0.733,1.037,0:44,1:02
토마토,Ours2,1,survey,1,0.000,0.000,0.000,0.000,0:00,0:00
토마토,Ours2,2,survey,1,120.000,0.000,2.000,0.000,2:00,0:00
토마토,Ours2,3,survey,1,67.000,0.000,1.117,0.000,1:07,0:00
토마토,Ours2,4,survey,4,91.000,16.472,1.517,0.275,1:31,0:16
토마토,Ours2,5,survey,5,47.800,43.729,0.797,0.729,0:48,0:44
토마토,KnowNo,1,survey,4,109.000,23.238,1.817,0.387,1:49,0:23
토마토,KnowNo,2,survey,3,41.000,71.014,0.683,1.184,0:41,1:11
토마토,KnowNo,3,survey,3,54.000,47.286,0.900,0.788,0:54,0:47
토마토,KnowNo,4,survey,1,173.000,0.000,2.883,0.000,2:53,0:00
토마토,KnowNo,5,survey,1,68.000,0.000,1.133,0.000,1:08,0:00
