discussion_point,measure,domain_panel,test,comparison,n,C1_mean,C1_sd,C2_mean,C2_sd,C3_mean,C3_sd,C4_mean,C4_sd,C5_mean,C5_sd,statistic,df,p,p_holm,effect_size,mean_difference,median_difference
Ours1 showed higher selected awareness than All; Ours2 trended lower than No/Ours1.,SAGAT_accuracy,분리수거,Friedman,C1-C5,12,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,12.9247,4,0.0116495,,0.269265,,
Ours1 showed higher selected awareness than All; Ours2 trended lower than No/Ours1.,SAGAT_accuracy,분리수거,Wilcoxon signed-rank exact,C3-C1,9,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,0,,0.00390625,0.0273438,1,0.166667,0.166667
Ours1 showed higher selected awareness than All; Ours2 trended lower than No/Ours1.,SAGAT_accuracy,분리수거,Wilcoxon signed-rank exact,C4-C2,7,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,0,,0.015625,0.09375,-1,-0.138889,-0.166667
Ours1 showed higher selected awareness than All; Ours2 trended lower than No/Ours1.,SAGAT_accuracy,분리수거,Wilcoxon signed-rank exact,C4-C3,9,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,3.5,,0.0234375,0.117188,-0.844444,-0.194444,-0.166667
Q4 is the strongest source of Ours1's selected awareness signal.,SAGAT_Q4,분리수거,Friedman,C1-C5,12,0.5,0.522233,0.166667,0.389249,1,0,0.0833333,0.288675,0.5,0.522233,22.1176,4,0.000189897,,0.460784,,
Q4 is the strongest source of Ours1's selected awareness signal.,SAGAT_Q4,분리수거,Wilcoxon signed-rank exact,C3-C2,10,0.5,0.522233,0.166667,0.389249,1,0,0.0833333,0.288675,0.5,0.522233,0,,0.00195312,0.0117188,1,0.833333,1
Q4 is the strongest source of Ours1's selected awareness signal.,SAGAT_Q4,분리수거,Wilcoxon signed-rank exact,C4-C3,11,0.5,0.522233,0.166667,0.389249,1,0,0.0833333,0.288675,0.5,0.522233,0,,0.000976562,0.00683594,-1,-0.916667,-1
The Q4 pattern remains visible after combining domains.,SAGAT_Q4,통합,Friedman,C1-C5,12,0.416667,0.417424,0.25,0.3371,0.791667,0.257464,0.333333,0.246183,0.541667,0.334279,15.9268,4,0.00311894,,0.331809,,
The Q4 pattern remains visible after combining domains.,SAGAT_Q4,통합,Wilcoxon signed-rank exact,C3-C2,10,0.416667,0.417424,0.25,0.3371,0.791667,0.257464,0.333333,0.246183,0.541667,0.334279,0,,0.00195312,0.0136719,1,0.541667,0.5
The Q4 pattern remains visible after combining domains.,SAGAT_Q4,통합,Wilcoxon signed-rank exact,C4-C3,9,0.416667,0.417424,0.25,0.3371,0.791667,0.257464,0.333333,0.246183,0.541667,0.334279,0,,0.00390625,0.0234375,-1,-0.458333,-0.5
Ours2 reduced workload relative to KnowNo and trended lower than Ours1.,NASA_TLX_workload,통합,Friedman,C1-C5,12,2.04167,0.886729,1.63333,0.563001,2.06667,0.786631,1.85,0.644558,2.15,0.734228,18.8679,4,0.000834318,,0.393082,,
Ours2 reduced workload relative to KnowNo and trended lower than Ours1.,NASA_TLX_workload,통합,Wilcoxon signed-rank exact,C3-C2,12,2.04167,0.886729,1.63333,0.563001,2.06667,0.786631,1.85,0.644558,2.15,0.734228,6,,0.00830078,0.0498047,0.846154,0.433333,0.4
Ours2 reduced workload relative to KnowNo and trended lower than Ours1.,NASA_TLX_workload,통합,Wilcoxon signed-rank exact,C4-C3,9,2.04167,0.886729,1.63333,0.563001,2.06667,0.786631,1.85,0.644558,2.15,0.734228,1.5,,0.0117188,0.0585938,-0.933333,-0.216667,-0.3
Ours2 reduced workload relative to KnowNo and trended lower than Ours1.,NASA_TLX_workload,통합,Wilcoxon signed-rank exact,C4-C5,11,2.04167,0.886729,1.63333,0.563001,2.06667,0.786631,1.85,0.644558,2.15,0.734228,0,,0.000976562,0.00683594,-1,-0.3,-0.3
Ours2 reduced perceived effort relative to All and KnowNo.,NASA_N5_effort,통합,Friedman,C1-C5,12,3.29167,1.45318,2,0.904534,3.20833,1.43746,2.54167,1.09665,3.45833,1.21465,21.8557,4,0.000214123,,0.455326,,
Ours2 reduced perceived effort relative to All and KnowNo.,NASA_N5_effort,통합,Wilcoxon signed-rank exact,C4-C1,8,3.29167,1.45318,2,0.904534,3.20833,1.43746,2.54167,1.09665,3.45833,1.21465,0,,0.0078125,0.046875,-1,-0.75,-1
Ours2 reduced perceived effort relative to All and KnowNo.,NASA_N5_effort,통합,Wilcoxon signed-rank exact,C4-C3,8,3.29167,1.45318,2,0.904534,3.20833,1.43746,2.54167,1.09665,3.45833,1.21465,1.5,,0.0234375,0.107422,-0.916667,-0.666667,-1
Ours2 reduced perceived effort relative to All and KnowNo.,NASA_N5_effort,통합,Wilcoxon signed-rank exact,C4-C5,11,3.29167,1.45318,2,0.904534,3.20833,1.43746,2.54167,1.09665,3.45833,1.21465,0,,0.000976562,0.00683594,-1,-0.916667,-1
Ours2 reduced recycling effort relative to KnowNo.,NASA_N5_effort,분리수거,Friedman,C1-C5,12,3.16667,1.85047,2.08333,0.996205,3.33333,1.66969,2.58333,1.1645,4,1.70561,17.0824,4,0.00186301,,0.355882,,
Ours2 reduced recycling effort relative to KnowNo.,NASA_N5_effort,분리수거,Wilcoxon signed-rank exact,C3-C2,10,3.16667,1.85047,2.08333,0.996205,3.33333,1.66969,2.58333,1.1645,4,1.70561,5,,0.0214844,0.128906,0.818182,1.25,2
Ours2 reduced recycling effort relative to KnowNo.,NASA_N5_effort,분리수거,Wilcoxon signed-rank exact,C4-C5,10,3.16667,1.85047,2.08333,0.996205,3.33333,1.66969,2.58333,1.1645,4,1.70561,0,,0.00195312,0.0136719,-1,-1.41667,-2
