평가 도메인,시나리오,조건 선택,Q1,Q2,Q3,Q4,Q5,Q6
분리수거,시나리오1,C1: All,,,,,,
분리수거,시나리오1,C2: No,,,,,,
분리수거,시나리오1,C3: Ours1,,,,,,
분리수거,시나리오1,C4: Ours2,,,,,,
분리수거,시나리오1,C5: KnowNo,,,,,,
분리수거,시나리오2,C1: All,,,,,,
분리수거,시나리오2,C2: No,,,,,,
분리수거,시나리오2,C3: Ours1,,,,,,
분리수거,시나리오2,C4: Ours2,,,,,,
분리수거,시나리오2,C5: KnowNo,,,,,,
분리수거,시나리오3,C1: All,,,,,,
분리수거,시나리오3,C2: No,,,,,,
분리수거,시나리오3,C3: Ours1,,,,,,
분리수거,시나리오3,C4: Ours2,,,,,,
분리수거,시나리오3,C5: KnowNo,,,,,,
분리수거,시나리오4,C1: All,,,,,,
분리수거,시나리오4,C2: No,,,,,,
분리수거,시나리오4,C3: Ours1,,,,,,
분리수거,시나리오4,C4: Ours2,,,,,,
분리수거,시나리오4,C5: KnowNo,,,,,,
분리수거,시나리오5,C1: All,,,,,,
분리수거,시나리오5,C2: No,,,,,,
분리수거,시나리오5,C3: Ours1,,,,,,
분리수거,시나리오5,C4: Ours2,,,,,,
분리수거,시나리오5,C5: KnowNo,,,,,,
토마토 수확,시나리오1,C1: All,,,,,,
토마토 수확,시나리오1,C2: No,,,,,,
토마토 수확,시나리오1,C3: Ours1,,,,,,
토마토 수확,시나리오1,C4: Ours2,,,,,,
토마토 수확,시나리오1,C5: KnowNo,,,,,,
토마토 수확,시나리오2,C1: All,,,,,,
토마토 수확,시나리오2,C2: No,,,,,,
토마토 수확,시나리오2,C3: Ours1,,,,,,
토마토 수확,시나리오2,C4: Ours2,,,,,,
토마토 수확,시나리오2,C5: KnowNo,,,,,,
토마토 수확,시나리오3,C1: All,,,,,,
토마토 수확,시나리오3,C2: No,,,,,,
토마토 수확,시나리오3,C3: Ours1,,,,,,
토마토 수확,시나리오3,C4: Ours2,,,,,,
토마토 수확,시나리오3,C5: KnowNo,,,,,,
토마토 수확,시나리오4,C1: All,,,,,,
토마토 수확,시나리오4,C2: No,,,,,,
토마토 수확,시나리오4,C3: Ours1,,,,,,
토마토 수확,시나리오4,C4: Ours2,,,,,,
토마토 수확,시나리오4,C5: KnowNo,,,,,,
토마토 수확,시나리오5,C1: All,,,,,,
토마토 수확,시나리오5,C2: No,,,,,,
토마토 수확,시나리오5,C3: Ours1,,,,,,
토마토 수확,시나리오5,C4: Ours2,,,,,,
토마토 수확,시나리오5,C5: KnowNo,,,,,,
