figure,domain,metric,comparison,condition_a,condition_b,shown_on_figure,stars,test,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,conditions_included
figures/waste_task_success.png,Waste,조작성공률 (%),C1 vs C3,C1,C3,no,,McNemar exact,12,2,nan,1,1,0,0,0,"C1,C3,C4,C5"
figures/waste_task_success.png,Waste,조작성공률 (%),C1 vs C4,C1,C4,no,,McNemar exact,12,1,nan,1,1,-1,-8.33333,0,"C1,C3,C4,C5"
figures/waste_task_success.png,Waste,조작성공률 (%),C1 vs C5,C1,C5,yes,*,McNemar exact,12,10,nan,0.00195312,0.0117188,1,83.3333,100,"C1,C3,C4,C5"
figures/waste_task_success.png,Waste,조작성공률 (%),C3 vs C4,C3,C4,no,,McNemar exact,12,1,nan,1,1,-1,-8.33333,0,"C1,C3,C4,C5"
figures/waste_task_success.png,Waste,조작성공률 (%),C3 vs C5,C3,C5,yes,*,McNemar exact,12,10,nan,0.00195312,0.0117188,1,83.3333,100,"C1,C3,C4,C5"
figures/waste_task_success.png,Waste,조작성공률 (%),C4 vs C5,C4,C5,yes,**,McNemar exact,12,11,nan,0.000976562,0.00585938,1,91.6667,100,"C1,C3,C4,C5"
figures/waste_operation_time.png,Waste,조작시간 (s),C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,9,9,3,0.0195312,0.117188,0.866667,18.7778,18,"C1,C3,C4,C5"
figures/waste_operation_time.png,Waste,조작시간 (s),C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,9,9,1.5,0.0117188,0.0703125,0.933333,20,19,"C1,C3,C4,C5"
figures/waste_operation_time.png,Waste,조작시간 (s),C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,9,9,22,1,1,-0.0222222,0.777778,4,"C1,C3,C4,C5"
figures/waste_operation_time.png,Waste,조작시간 (s),C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,9,8,12,0.453125,1,0.333333,1.375,1,"C1,C3,C4,C5"
figures/waste_operation_time.png,Waste,조작시간 (s),C3 vs C5,C3,C5,yes,*,Wilcoxon signed-rank exact,9,9,0,0.00390625,0.0234375,-1,-18,-14,"C1,C3,C4,C5"
figures/waste_operation_time.png,Waste,조작시간 (s),C4 vs C5,C4,C5,yes,*,Wilcoxon signed-rank exact,9,9,0,0.00390625,0.0234375,-1,-19.2222,-14,"C1,C3,C4,C5"
figures/waste_sagat1.png,Waste,SAGAT1,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,3,2,1,1,-0.333333,-0.166667,-0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat1.png,Waste,SAGAT1,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,4,2,0.5,1,0.6,0.375,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat1.png,Waste,SAGAT1,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,3,2,1,1,0.333333,0.166667,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat1.png,Waste,SAGAT1,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,8,9,0.289062,1,0.5,0.25,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat1.png,Waste,SAGAT1,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,3,0,0.25,1,1,0.666667,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat1.png,Waste,SAGAT1,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,4,2.5,0.625,1,0.5,0.25,0.5,"C1,C2,C3,C4,C5"
