domain,metric,test,statistic_name,chi_square,F,df,p,kendalls_w,n_complete_subjects,complete_subjects,n_conditions,conditions_included
Waste,조작성공률 (%),Cochran's Q,Q,27.6857,,3,8.35657e-06,0.769048,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",4,"C1,C3,C4,C5"
Waste,조작시간 (s),Friedman,chi-square,22.4237,,3,7.78285e-05,0.622881,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",4,"C1,C3,C4,C5"
Waste,SAGAT1,Friedman,chi-square,6.16667,,4,0.187042,0.128472,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Waste,SAGAT2,Friedman,chi-square,14.8108,,4,0.00511013,0.308559,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Waste,SAGAT3,Friedman,chi-square,10.7872,,4,0.0290622,0.224734,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Waste,Fatigue,Friedman,chi-square,4.72316,,4,0.3169,0.0983992,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Waste,NASA-RTLX,Friedman,chi-square,21.3073,,4,0.000275193,0.443902,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Waste,SART,Friedman,chi-square,5.06438,,4,0.280756,0.105508,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Tomato,조작성공률 (%),Cochran's Q,Q,5.4,,3,0.142891,0.15,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",4,"C1,C3,C4,C5"
Tomato,조작시간 (s),Friedman,chi-square,9.7156,,3,0.0209771,0.294412,11,"p001,p002,p003,p004,p005,p006,p008,p009,p010,p011,p012",4,"C1,C3,C4,C5"
Tomato,SAGAT1,Friedman,chi-square,9.28571,,4,0.0543415,0.193452,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Tomato,SAGAT2,Friedman,chi-square,2.97727,,4,0.561636,0.0620265,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Tomato,SAGAT3,Friedman,chi-square,10.962,,4,0.0269941,0.228376,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Tomato,Fatigue,Friedman,chi-square,6.0979,,4,0.191955,0.12704,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Tomato,NASA-RTLX,Friedman,chi-square,16.3148,,4,0.00262455,0.339892,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
Tomato,SART,Friedman,chi-square,5.23636,,4,0.263893,0.109091,12,"p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012",5,"C1,C2,C3,C4,C5"
