domain,metric,test,comparison,condition_a,condition_b,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,significant_p_lt_05,stars,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,n_conditions,conditions_included,mcnemar_b_over_c
Waste,조작성공률 (%),McNemar exact,C1 vs C3,C1,C3,12,2,nan,1,1,no,,0,0,0,4,"C1,C3,C4,C5",1/1
Waste,조작성공률 (%),McNemar exact,C1 vs C4,C1,C4,12,1,nan,1,1,no,,-1,-8.33333,0,4,"C1,C3,C4,C5",0/1
Waste,조작성공률 (%),McNemar exact,C1 vs C5,C1,C5,12,10,nan,0.00195312,0.0117188,yes,*,1,83.3333,100,4,"C1,C3,C4,C5",10/0
Waste,조작성공률 (%),McNemar exact,C3 vs C4,C3,C4,12,1,nan,1,1,no,,-1,-8.33333,0,4,"C1,C3,C4,C5",0/1
Waste,조작성공률 (%),McNemar exact,C3 vs C5,C3,C5,12,10,nan,0.00195312,0.0117188,yes,*,1,83.3333,100,4,"C1,C3,C4,C5",10/0
Waste,조작성공률 (%),McNemar exact,C4 vs C5,C4,C5,12,11,nan,0.000976562,0.00585938,yes,**,1,91.6667,100,4,"C1,C3,C4,C5",11/0
Waste,조작시간 (s),Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,12,3,0.00244141,0.0146484,yes,*,0.923077,18.9167,18.5,4,"C1,C3,C4,C5",
Waste,조작시간 (s),Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,12,1.5,0.00146484,0.00878906,yes,**,0.961538,18.9167,19,4,"C1,C3,C4,C5",
Waste,조작시간 (s),Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,11,29.5,0.78125,1,no,,0.106061,1.81818,6,4,"C1,C3,C4,C5",
Waste,조작시간 (s),Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,11,32,0.958984,1,no,,-0.030303,0,-1,4,"C1,C3,C4,C5",
Waste,조작시간 (s),Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,12,0,0.000488281,0.00292969,yes,**,-1,-17.25,-14,4,"C1,C3,C4,C5",
Waste,조작시간 (s),Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,12,0,0.000488281,0.00292969,yes,**,-1,-17.25,-13,4,"C1,C3,C4,C5",
Waste,SAGAT1,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,3,2,1,1,no,,-0.333333,-0.166667,-0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT1,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,4,2,0.5,1,no,,0.6,0.375,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT1,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,3,2,1,1,no,,0.333333,0.166667,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT1,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,8,9,0.289062,1,no,,0.5,0.25,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT1,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,3,0,0.25,1,no,,1,0.666667,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT1,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,4,2.5,0.625,1,no,,0.5,0.25,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT1,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,5,0,0.0625,0.625,no,,1,0.5,0.5,5,"C1,C2,C3,C4,C5",
