domain,condition,condition_short,level,metric,n,mean,sd,se
Waste,C1: All,C1,Lv1,SAGAT1,12,0.916667,0.194625,0.0561833
Waste,C1: All,C1,Lv2,SAGAT2,12,0.375,0.433013,0.125
Waste,C1: All,C1,Lv3,SAGAT3,12,0.375,0.226134,0.0652791
Waste,C2: No,C2,Lv1,SAGAT1,12,0.958333,0.144338,0.0416667
Waste,C2: No,C2,Lv2,SAGAT2,12,0.25,0.398862,0.115142
Waste,C2: No,C2,Lv3,SAGAT3,12,0.791667,0.334279,0.096498
Waste,C3: Ours1,C3,Lv1,SAGAT1,12,0.791667,0.334279,0.096498
Waste,C3: Ours1,C3,Lv2,SAGAT2,12,0.625,0.226134,0.0652791
Waste,C3: Ours1,C3,Lv3,SAGAT3,12,0.75,0.261116,0.0753778
Waste,C4: Ours2,C4,Lv1,SAGAT1,12,0.875,0.226134,0.0652791
Waste,C4: Ours2,C4,Lv2,SAGAT2,12,0.0833333,0.194625,0.0561833
Waste,C4: Ours2,C4,Lv3,SAGAT3,12,0.625,0.310791,0.0897176
Waste,C5: KnowNo,C5,Lv1,SAGAT1,12,0.75,0.261116,0.0753778
Waste,C5: KnowNo,C5,Lv2,SAGAT2,12,0.458333,0.450168,0.129952
Waste,C5: KnowNo,C5,Lv3,SAGAT3,12,0.583333,0.417424,0.1205
Tomato,C1: All,C1,Lv1,SAGAT1,12,0.875,0.226134,0.0652791
Tomato,C1: All,C1,Lv2,SAGAT2,12,0.458333,0.334279,0.096498
Tomato,C1: All,C1,Lv3,SAGAT3,12,0.708333,0.334279,0.096498
Tomato,C2: No,C2,Lv1,SAGAT1,12,0.75,0.261116,0.0753778
Tomato,C2: No,C2,Lv2,SAGAT2,12,0.291667,0.334279,0.096498
Tomato,C2: No,C2,Lv3,SAGAT3,12,0.833333,0.325669,0.0940127
Tomato,C3: Ours1,C3,Lv1,SAGAT1,12,0.625,0.226134,0.0652791
Tomato,C3: Ours1,C3,Lv2,SAGAT2,12,0.416667,0.288675,0.0833333
Tomato,C3: Ours1,C3,Lv3,SAGAT3,12,0.833333,0.246183,0.0710669
Tomato,C4: Ours2,C4,Lv1,SAGAT1,12,0.666667,0.246183,0.0710669
Tomato,C4: Ours2,C4,Lv2,SAGAT2,12,0.458333,0.450168,0.129952
Tomato,C4: Ours2,C4,Lv3,SAGAT3,12,0.958333,0.144338,0.0416667
Tomato,C5: KnowNo,C5,Lv1,SAGAT1,12,0.625,0.226134,0.0652791
Tomato,C5: KnowNo,C5,Lv2,SAGAT2,12,0.5,0.301511,0.0870388
Tomato,C5: KnowNo,C5,Lv3,SAGAT3,12,0.625,0.226134,0.0652791
