measure,description,domain_panel,direction,test_family,test,comparison,n,C1_mean,C1_sd,C2_mean,C2_sd,C3_mean,C3_sd,C4_mean,C4_sd,C5_mean,C5_sd,statistic,df,p,p_holm,effect_size,mean_difference,median_difference
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Friedman,C1-C5,12,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,4.05854,4,0.398142,,0.0845528,,
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C1,8,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,11.5,,0.453125,1,-0.361111,-0.0555556,-0.166666
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C2,10,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,25,,0.84375,1,0.0909091,1.66667e-07,0
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C5,8,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,12,,0.476562,1,0.333333,0.0416668,0.166667
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C1,6,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,10.5,,1,1,0,0.0138888,-5e-07
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C2,11,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,24.5,,0.476562,1,0.257576,0.0694445,0.166666
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C3,10,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,19,,0.408203,1,0.309091,0.0694443,0.166666
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C5,11,0.680556,0.13216,0.625,0.202572,0.625,0.103597,0.694445,0.156239,0.583333,0.181186,19.5,,0.256836,1,0.409091,0.111111,0.166667
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Friedman,C1-C5,12,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,12.9247,4,0.0116495,,0.269265,,
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C1,9,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,0,,0.00390625,0.0273438,1,0.166667,0.166667
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C2,7,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,10,,0.5625,1,0.285714,0.0555553,0.166666
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C5,9,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,9,,0.117188,0.46875,0.6,0.125,0.166667
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C1,7,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,12.5,,0.859375,1,-0.107143,-0.0277777,0.166667
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C2,7,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,0,,0.015625,0.09375,-1,-0.138889,-0.166667
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C3,9,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,3.5,,0.0234375,0.117188,-0.844444,-0.194444,-0.166667
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C5,9,0.555555,0.19245,0.666667,0.0710668,0.722222,0.147937,0.527778,0.119624,0.597222,0.240563,15,,0.398438,1,-0.333333,-0.0694443,0.166666
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Friedman,C1-C5,12,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,6.48485,4,0.165748,,0.135101,,
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Wilcoxon signed-rank exact,C3-C1,8,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,7,,0.140625,0.902344,0.611111,0.0555556,0.0833335
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Wilcoxon signed-rank exact,C3-C2,8,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,12.5,,0.484375,1,0.305556,0.0277778,0.083333
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Wilcoxon signed-rank exact,C3-C5,9,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,9,,0.128906,0.902344,0.6,0.0833333,0.083334
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Wilcoxon signed-rank exact,C4-C1,8,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,16,,0.84375,1,-0.111111,-0.0069445,0
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Wilcoxon signed-rank exact,C4-C2,9,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,16.5,,0.554688,1,-0.266667,-0.0347223,-0.083333
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Wilcoxon signed-rank exact,C4-C3,9,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,13,,0.289062,1,-0.422222,-0.0625001,-0.083334
SAGAT_accuracy,SAGAT mean accuracy across Q1-Q6,통합,higher,planned,Wilcoxon signed-rank exact,C4-C5,9,0.618056,0.12542,0.645833,0.113067,0.673611,0.103343,0.611111,0.119623,0.590278,0.172102,20.5,,0.851562,1,0.0888889,0.0208333,0.083333
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Friedman,C1-C5,12,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,1.10345,4,0.893725,,0.0229885,,
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C1,6,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,7,,0.6875,1,-0.333333,-0.166667,-1
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C2,4,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,5,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C5,6,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,10.5,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C1,6,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,7,,0.6875,1,-0.333333,-0.166667,-1
