domain,domain_code,condition,condition_code,scenario,time_type,seconds,time_hms,source_row,source_column
분리수거,R,No,2,5,operation,141,2:21,4,1
분리수거,R,No,2,5,survey,310,5:10,4,1
분리수거,R,No,2,1,operation,143,2:23,4,7
분리수거,R,No,2,1,survey,171,2:51,4,7
토마토,T,No,2,5,operation,162,2:42,4,13
토마토,T,No,2,5,survey,298,4:58,4,13
토마토,T,KnowNo,5,4,operation,246,4:06,4,19
토마토,T,KnowNo,5,4,survey,173,2:53,4,19
분리수거,R,Ours1,3,3,operation,154,2:34,12,1
분리수거,R,Ours1,3,3,survey,166,2:46,12,1
분리수거,R,KnowNo,5,4,operation,174,2:54,12,7
분리수거,R,KnowNo,5,4,survey,113,1:53,12,7
토마토,T,Ours2,4,2,operation,220,3:40,12,13
토마토,T,Ours2,4,2,survey,120,2:00,12,13
토마토,T,Ours1,3,2,operation,218,3:38,12,19
토마토,T,Ours1,3,2,survey,116,1:56,12,19
분리수거,R,ALL,1,1,operation,221,3:41,20,1
분리수거,R,ALL,1,1,survey,149,2:29,20,1
분리수거,R,Ours2,4,2,operation,146,2:26,20,7
분리수거,R,Ours2,4,2,survey,121,2:01,20,7
토마토,T,KnowNo,5,3,operation,245,4:05,20,13
토마토,T,KnowNo,5,3,survey,88,1:28,20,13
토마토,T,ALL,1,1,operation,220,3:40,20,19
토마토,T,ALL,1,1,survey,92,1:32,20,19
분리수거,R,Ours2,4,2,operation,151,2:31,28,1
분리수거,R,Ours2,4,2,survey,151,2:31,28,1
분리수거,R,ALL,1,3,operation,177,2:57,28,7
분리수거,R,ALL,1,3,survey,114,1:54,28,7
토마토,T,ALL,1,1,operation,219,3:39,28,13
토마토,T,ALL,1,1,survey,131,2:11,28,13
토마토,T,No,2,3,operation,224,3:44,28,19
토마토,T,No,2,3,survey,96,1:36,28,19
분리수거,R,KnowNo,5,4,operation,162,2:42,36,1
분리수거,R,KnowNo,5,4,survey,137,2:17,36,1
분리수거,R,Ours1,3,5,operation,158,2:38,36,7
분리수거,R,Ours1,3,5,survey,84,1:24,36,7
토마토,T,Ours1,3,4,operation,236,3:56,36,13
토마토,T,Ours1,3,4,survey,90,1:30,36,13
토마토,T,Ours2,4,5,operation,189,3:09,36,19
토마토,T,Ours2,4,5,survey,75,1:15,36,19
토마토,T,ALL,1,2,operation,226,3:46,44,1
토마토,T,ALL,1,2,survey,118,1:58,44,1
토마토,T,No,2,2,operation,179,2:59,44,7
토마토,T,No,2,2,survey,94,1:34,44,7
분리수거,R,No,2,2,operation,142,2:22,44,13
분리수거,R,No,2,2,survey,88,1:28,44,13
분리수거,R,No,2,3,operation,146,2:26,44,19
분리수거,R,No,2,3,survey,100,1:40,44,19
토마토,T,KnowNo,5,1,operation,223,3:43,52,1
토마토,T,KnowNo,5,1,survey,128,2:08,52,1
토마토,T,Ours2,4,5,operation,197,3:17,52,7
토마토,T,Ours2,4,5,survey,82,1:22,52,7
