domain,condition,scenario,time_type,n,mean_seconds,std_seconds,mean_minutes,std_minutes,mean_hms,std_hms
분리수거,ALL,1,operation,3,181.333,34.646,3.022,0.577,3:01,0:35
분리수거,ALL,3,operation,2,178.500,2.121,2.975,0.035,2:58,0:02
분리수거,ALL,4,operation,2,168.000,9.899,2.800,0.165,2:48,0:10
분리수거,ALL,5,operation,2,170.500,13.435,2.842,0.224,2:50,0:13
분리수거,No,1,operation,2,142.500,0.707,2.375,0.012,2:22,0:01
분리수거,No,2,operation,3,141.667,1.528,2.361,0.025,2:22,0:02
분리수거,No,3,operation,2,146.500,0.707,2.442,0.012,2:26,0:01
분리수거,No,5,operation,2,144.500,4.950,2.408,0.082,2:24,0:05
분리수거,Ours1,2,operation,1,146.000,0.000,2.433,0.000,2:26,0:00
분리수거,Ours1,3,operation,3,160.333,5.508,2.672,0.092,2:40,0:06
분리수거,Ours1,4,operation,3,158.333,2.309,2.639,0.038,2:38,0:02
분리수거,Ours1,5,operation,2,157.500,0.707,2.625,0.012,2:38,0:01
분리수거,Ours2,1,operation,2,155.500,6.364,2.592,0.106,2:36,0:06
분리수거,Ours2,2,operation,4,149.500,3.697,2.492,0.062,2:30,0:04
분리수거,Ours2,3,operation,1,155.000,0.000,2.583,0.000,2:35,0:00
분리수거,Ours2,4,operation,2,157.000,1.414,2.617,0.024,2:37,0:01
분리수거,KnowNo,1,operation,2,158.000,1.414,2.633,0.024,2:38,0:01
분리수거,KnowNo,2,operation,1,166.000,0.000,2.767,0.000,2:46,0:00
분리수거,KnowNo,4,operation,3,167.333,6.110,2.789,0.102,2:47,0:06
분리수거,KnowNo,5,operation,3,196.333,17.039,3.272,0.284,3:16,0:17
분리수거,ALL,1,survey,3,130.667,16.803,2.178,0.280,2:11,0:17
분리수거,ALL,3,survey,2,130.500,23.335,2.175,0.389,2:10,0:23
분리수거,ALL,4,survey,2,114.000,18.385,1.900,0.306,1:54,0:18
분리수거,ALL,5,survey,2,85.000,2.828,1.417,0.047,1:25,0:03
분리수거,No,1,survey,2,128.000,60.811,2.133,1.014,2:08,1:01
분리수거,No,2,survey,3,102.333,25.697,1.706,0.428,1:42,0:26
분리수거,No,3,survey,2,120.500,28.991,2.008,0.483,2:00,0:29
분리수거,No,5,survey,2,211.500,139.300,3.525,2.322,3:32,2:19
분리수거,Ours1,2,survey,1,68.000,0.000,1.133,0.000,1:08,0:00
분리수거,Ours1,3,survey,3,163.333,69.039,2.722,1.151,2:43,1:09
분리수거,Ours1,4,survey,3,92.667,17.559,1.544,0.293,1:33,0:18
분리수거,Ours1,5,survey,2,79.000,7.071,1.317,0.118,1:19,0:07
분리수거,Ours2,1,survey,2,123.000,15.556,2.050,0.259,2:03,0:16
분리수거,Ours2,2,survey,4,112.250,30.500,1.871,0.508,1:52,0:30
분리수거,Ours2,3,survey,1,71.000,0.000,1.183,0.000,1:11,0:00
분리수거,Ours2,4,survey,2,192.000,84.853,3.200,1.414,3:12,1:25
분리수거,KnowNo,1,survey,2,80.000,15.556,1.333,0.259,1:20,0:16
분리수거,KnowNo,2,survey,1,94.000,0.000,1.567,0.000,1:34,0:00
분리수거,KnowNo,4,survey,3,111.333,26.539,1.856,0.442,1:51,0:27
분리수거,KnowNo,5,survey,3,143.000,26.907,2.383,0.448,2:23,0:27
토마토,ALL,1,operation,4,224.000,9.345,3.733,0.156,3:44,0:09
토마토,ALL,2,operation,2,229.000,4.243,3.817,0.071,3:49,0:04
