,,,,,,,,,,,,,,,,,,,,,,
6월 1일,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
p011,,,,,,p005,,,,,,p006,,,,,,p002,,,,
R2(s5)-분리수거No,시간 종류,시작 시간,종료 시간,소요시간,,R2(s1),시간 종류,시작 시간,종료 시간,소요 시간,,T2(s5),시간 종류,시작 시간,종료 시간,소요 시간,,T5(s4),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:07:19,0:09:40,0:02:21,,,조작,0:08:23,0:10:46,0:02:23,,,조작,0:10:39,0:13:21,0:02:42,,,조작,0:10:56,0:14:52,0:03:56
,설문,0:09:47,0:14:57,0:05:10,,,설문,0:10:52,0:13:43,0:02:51,,,설문,0:13:27,0:18:25,0:04:58,,,설문,0:15:02,0:16:38,0:01:36
,조작,,,0:00:00,,,조작,,,0:00:00,,,조작,,,0:00:00,,,조작,0:16:41,0:16:51,0:00:10
,설문,,,0:00:00,,,설문,,,0:00:00,,,설문,,,0:00:00,,,설문,0:16:54,0:18:11,0:01:17
,총 조작 시간,,,0:02:21,,,총 조작 시간,,,0:02:23,,,총 조작 시간,,,0:02:42,,,총 조작 시간,,,0:04:06
,총 설문 시간,,,0:05:10,,,총 설문 시간,,,0:02:51,,,총 설문 시간,,,0:04:58,,,총 설문 시간,,,0:02:53
,,,,,,,,,,,,,,,,,,,,,,
R3(s3)-분리수거Ours1,시간 종류,시작 시간,종료 시간,소요시간,,R5(s4),시간 종류,시작 시간,종료 시간,소요 시간,,T4(s2),시간 종류,시작 시간,종료 시간,소요 시간,,T3(s2),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:15:15,0:17:22,0:02:07,,,조작,0:14:07,0:15:59,0:01:52,,,조작,0:18:46,0:21:37,0:02:51,,,조작,0:18:36,0:21:41,0:03:05
,설문,0:17:27,0:18:18,0:00:51,,,설문,0:16:05,0:16:57,0:00:52,,,설문,0:21:44,0:22:48,0:01:04,,,설문,0:21:48,0:22:52,0:01:04
,조작,0:18:26,0:18:53,0:00:27,,,조작,0:17:08,0:18:10,0:01:02,,,조작,0:22:55,0:23:44,0:00:49,,,조작,0:22:59,0:23:32,0:00:33
,설문,0:19:00,0:20:55,0:01:55,,,설문,0:18:17,0:19:18,0:01:01,,,설문,0:23:52,0:24:48,0:00:56,,,설문,0:23:39,0:24:31,0:00:52
,총 조작 시간,,,0:02:34,,,총 조작 시간,,,0:02:54,,,총 조작 시간,,,0:03:40,,,총 조작 시간,,,0:03:38
,총 설문 시간,,,0:02:46,,,총 설문 시간,,,0:01:53,,,총 설문 시간,,,0:02:00,,,총 설문 시간,,,0:01:56
,,,,,,,,,,,,,,,,,,,,,,
R1(s1)-분리수거ALL,시간 종류,시작 시간,종료 시간,소요시간,,R4(s2),시간 종류,시작 시간,종료 시간,소요 시간,,T5(s3),시간 종류,시작 시간,종료 시간,소요 시간,,T1(s1),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:21:21,0:25:02,0:03:41,,,조작,0:20:03,0:21:47,0:01:44,,,조작,0:25:11,0:28:57,0:03:46,,,조작,0:24:54,0:28:22,0:03:28
,설문,0:25:07,0:27:36,0:02:29,,,설문,0:21:54,0:23:04,0:01:10,,,설문,0:29:03,0:29:51,0:00:48,,,설문,0:28:32,0:29:14,0:00:42
,조작,,,0:00:00,,,조작,0:23:10,0:23:52,0:00:42,,,조작,0:29:57,0:30:16,0:00:19,,,조작,0:29:21,0:29:33,0:00:12
,설문,,,0:00:00,,,설문,0:24:06,0:24:57,0:00:51,,,설문,0:30:24,0:31:04,0:00:40,,,설문,0:29:36,0:30:26,0:00:50
,총 조작 시간,,,0:03:41,,,총 조작 시간,,,0:02:26,,,총 조작 시간,,,0:04:05,,,총 조작 시간,,,0:03:40
,총 설문 시간,,,0:02:29,,,총 설문 시간,,,0:02:01,,,총 설문 시간,,,0:01:28,,,총 설문 시간,,,0:01:32
,,,,,,,,,,,,,,,,,,,,,,
R4(s2)-분리수거Ours2,시간 종류,시작 시간,종료 시간,소요시간,,R1(s3),시간 종류,시작 시간,종료 시간,소요 시간,,T1(s1),시간 종류,시작 시간,종료 시간,소요 시간,,T2(s3),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:28:05,0:29:45,0:01:40,,,조작,0:25:23,0:28:20,0:02:57,,,조작,0:31:21,0:34:48,0:03:27,,,조작,0:30:37,0:34:17,0:03:40
,설문,0:29:53,0:30:41,0:00:48,,,설문,0:29:16,0:31:10,0:01:54,,,설문,0:34:55,0:36:37,0:01:42,,,설문,0:34:24,0:35:12,0:00:48
,조작,0:30:48,0:31:39,0:00:51,,,조작,,,0:00:00,,,조작,0:36:44,0:36:56,0:00:12,,,조작,0:35:16,0:35:20,0:00:04
,설문,0:31:49,0:33:32,0:01:43,,,설문,,,0:00:00,,,설문,0:37:02,0:37:31,0:00:29,,,설문,0:35:22,0:36:10,0:00:48
,총 조작 시간,,,0:02:31,,,총 조작 시간,,,0:02:57,,,총 조작 시간,,,0:03:39,,,총 조작 시간,,,0:03:44
,총 설문 시간,,,0:02:31,,,총 설문 시간,,,0:01:54,,,총 설문 시간,,,0:02:11,,,총 설문 시간,,,0:01:36
,,,,,,,,,,,,,,,,,,,,,,
R5(s4)-분리수거KnowNo,시간 종류,시작 시간,종료 시간,소요시간,,R3(s5),시간 종류,시작 시간,종료 시간,소요 시간,,T3(s4),시간 종류,시작 시간,종료 시간,소요 시간,,T4(s5),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:33:41,0:35:21,0:01:40,,,조작,0:31:30,0:34:08,0:02:38,,,조작,0:37:57,0:40:33,0:02:36,,,조작,0:36:32,0:38:45,0:02:13
,설문,0:35:27,0:36:25,0:00:58,,,설문,0:34:12,0:35:36,0:01:24,,,설문,0:40:41,0:41:33,0:00:52,,,설문,0:38:48,0:39:14,0:00:26
,조작,0:36:36,0:37:38,0:01:02,,,조작,,,0:00:00,,,조작,0:41:40,0:43:00,0:01:20,,,조작,0:39:22,0:40:18,0:00:56
,설문,0:37:47,0:39:06,0:01:19,,,설문,,,0:00:00,,,설문,0:43:06,0:43:44,0:00:38,,,설문,0:40:25,0:41:14,0:00:49
,총 조작 시간,,,0:02:42,,,총 조작 시간,,,0:02:38,,,총 조작 시간,,,0:03:56,,,총 조작 시간,,,0:03:09
,총 설문 시간,,,0:02:17,,,총 설문 시간,,,0:01:24,,,총 설문 시간,,,0:01:30,,,총 설문 시간,,,0:01:15
,,,,,,,,,,,,,,,,,,,,,,
T1(s2),시간 종류,시작 시간,종료 시간,소요시간,,T2(s2),시간 종류,시작 시간,종료 시간,소요 시간,,R2(s2),시간 종류,시작 시간,종료 시간,소요 시간,,R2(s3),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:44:24,0:48:10,0:03:46,,,조작,0:42:07,0:45:06,0:02:59,,,조작,0:49:09,0:51:31,0:02:22,,,조작,0:47:28,0:49:54,0:02:26
,설문,0:48:20,0:50:18,0:01:58,,,설문,0:45:09,0:46:43,0:01:34,,,설문,0:51:38,0:53:06,0:01:28,,,설문,0:50:00,0:51:40,0:01:40
,조작,,,0:00:00,,,조작,,,0:00:00,,,조작,,,0:00:00,,,조작,,,0:00:00
,설문,,,0:00:00,,,설문,,,0:00:00,,,설문,,,0:00:00,,,설문,,,0:00:00
,총 조작 시간,,,0:03:46,,,총 조작 시간,,,0:02:59,,,총 조작 시간,,,0:02:22,,,총 조작 시간,,,0:02:26
,총 설문 시간,,,0:01:58,,,총 설문 시간,,,0:01:34,,,총 설문 시간,,,0:01:28,,,총 설문 시간,,,0:01:40
,,,,,,,,,,,,,,,,,,,,,,
T5(s1),시간 종류,시작 시간,종료 시간,소요시간,,T4(s5),시간 종류,시작 시간,종료 시간,소요 시간,,R3(s3),시간 종류,시작 시간,종료 시간,소요 시간,,R3(s4),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:50:54,0:53:27,0:02:33,,,조작,0:47:10,0:49:32,0:02:22,,,조작,0:53:29,0:55:48,0:02:19,,,조작,0:52:01,0:53:38,0:01:37
,설문,0:53:36,0:54:37,0:01:01,,,설문,0:49:37,0:50:13,0:00:36,,,설문,0:55:55,0:56:51,0:00:56,,,설문,0:53:43,0:54:21,0:00:38
,조작,0:54:45,0:55:55,0:01:10,,,조작,0:50:20,0:51:15,0:00:55,,,조작,0:56:58,0:57:23,0:00:25,,,조작,0:54:30,0:55:34,0:01:04
,설문,0:56:03,0:57:10,0:01:07,,,설문,0:51:22,0:52:08,0:00:46,,,설문,0:57:31,0:58:08,0:00:37,,,설문,0:55:44,0:56:22,0:00:38
,총 조작 시간,,,0:03:43,,,총 조작 시간,,,0:03:17,,,총 조작 시간,,,0:02:44,,,총 조작 시간,,,0:02:41
,총 설문 시간,,,0:02:08,,,총 설문 시간,,,0:01:22,,,총 설문 시간,,,0:01:33,,,총 설문 시간,,,0:01:16
,,,,,,,,,,,,,,,,,,,,,,
T2(s5),시간 종류,시작 시간,종료 시간,소요시간,,T1(s4),시간 종류,시작 시간,종료 시간,소요 시간,,R5(s5),시간 종류,시작 시간,종료 시간,소요 시간,,R5(s1),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:57:20,1:00:09,0:02:49,,,조작,0:52:29,0:56:23,0:03:54,,,조작,0:58:31,1:01:07,0:02:36,,,조작,0:56:48,0:58:22,0:01:34
,설문,1:00:13,1:02:28,0:02:15,,,설문,0:56:28,0:58:04,0:01:36,,,설문,1:01:14,1:02:41,0:01:27,,,설문,0:58:28,0:58:59,0:00:31
,조작,,,0:00:00,,,조작,,,0:00:00,,,조작,1:02:48,1:03:12,0:00:24,,,조작,0:59:07,1:00:10,0:01:03
,설문,,,0:00:00,,,설문,,,0:00:00,,,설문,1:03:22,1:03:48,0:00:26,,,설문,1:00:16,1:00:54,0:00:38
,총 조작 시간,,,0:02:49,,,총 조작 시간,,,0:03:54,,,총 조작 시간,,,0:03:00,,,총 조작 시간,,,0:02:37
,총 설문 시간,,,0:02:15,,,총 설문 시간,,,0:01:36,,,총 설문 시간,,,0:01:53,,,총 설문 시간,,,0:01:09
,,,,,,,,,,,,,,,,,,,,,,
T4(s4),시간 종류,시작 시간,종료 시간,소요시간,,T3(s3),시간 종류,시작 시간,종료 시간,소요 시간,,R4(s1),시간 종류,시작 시간,종료 시간,소요 시간,,R4(s2),시간 종류,시작 시간,종료 시간,소요 시간
,조작,1:02:50,1:05:27,0:02:37,,,조작,0:58:23,1:01:44,0:03:21,,,조작,1:04:10,1:06:38,0:02:28,,,조작,1:01:03,1:02:52,0:01:49
,설문,1:05:34,1:06:11,0:00:37,,,설문,1:01:49,1:02:13,0:00:24,,,설문,1:06:42,1:08:01,0:01:19,,,설문,1:02:58,1:03:36,0:00:38
,조작,1:06:19,1:07:30,0:01:11,,,조작,1:02:18,1:03:17,0:00:59,,,조작,1:08:06,1:08:18,0:00:12,,,조작,1:03:43,1:04:28,0:00:45
,설문,1:07:37,1:08:54,0:01:17,,,설문,1:03:29,1:04:12,0:00:43,,,설문,1:08:20,1:08:53,0:00:33,,,설문,1:04:34,1:05:18,0:00:44
,총 조작 시간,,,0:03:48,,,총 조작 시간,,,0:04:20,,,총 조작 시간,,,0:02:40,,,총 조작 시간,,,0:02:34
,총 설문 시간,,,0:01:54,,,총 설문 시간,,,0:01:07,,,총 설문 시간,,,0:01:52,,,총 설문 시간,,,0:01:22
,,,,,,,,,,,,,,,,,,,,,,
T3(s3),시간 종류,시작 시간,종료 시간,소요시간,,T5(s1),시간 종류,시작 시간,종료 시간,소요 시간,,R1(s4),시간 종류,시작 시간,종료 시간,소요 시간,good,R1(s5),시간 종류,시작 시간,종료 시간,소요 시간
