평가 도메인,시나리오,조건 선택,Q1,Q2,Q3,Q4,Q5,Q6
분리수거,시나리오1,C1: All,3,2,3,1,2,1
분리수거,시나리오1,C2: No,3,2,1,1,2,1
분리수거,시나리오1,C3: Ours1,3,3,3,1,2,1
분리수거,시나리오1,C4: Ours2,3,2,2,2,1,1
분리수거,시나리오1,C5: KnowNo,3,3,1,2,1,1
분리수거,시나리오2,C1: All,1,2,3,1,3,1
분리수거,시나리오2,C2: No,1,2,3,1,3,1
분리수거,시나리오2,C3: Ours1,2,4,1,1,1,1
분리수거,시나리오2,C4: Ours2,2,4,2,2,1,1
분리수거,시나리오2,C5: KnowNo,3,3,2,2,1,1
분리수거,시나리오3,C1: All,2,3,3,1,2,1
분리수거,시나리오3,C2: No,2,3,3,1,2,1
분리수거,시나리오3,C3: Ours1,3,4,1,1,2,1
분리수거,시나리오3,C4: Ours2,3,4,2,2,2,1
분리수거,시나리오3,C5: KnowNo,3,1,2,2,1,1
분리수거,시나리오4,C1: All,3,3,3,1,2,1
분리수거,시나리오4,C2: No,3,3,3,1,2,1
분리수거,시나리오4,C3: Ours1,3,4,2,1,2,1
분리수거,시나리오4,C4: Ours2,3,2,3,1,2,1
분리수거,시나리오4,C5: KnowNo,3,4,1,1,1,1
분리수거,시나리오5,C1: All,2,2,3,1,2,1
분리수거,시나리오5,C2: No,2,2,3,1,2,1
분리수거,시나리오5,C3: Ours1,2,2,3,1,2,1
분리수거,시나리오5,C4: Ours2,3,2,3,1,2,1
분리수거,시나리오5,C5: KnowNo,3,4,2,2,1,1
토마토 수확,시나리오1,C1: All,2,1,2,2,2,1
토마토 수확,시나리오1,C2: No,2,1,2,2,2,1
토마토 수확,시나리오1,C3: Ours1,2,1,3,2,2,1
토마토 수확,시나리오1,C4: Ours2,2,1,3,2,2,1
토마토 수확,시나리오1,C5: KnowNo,3,1,1,2,1,1
토마토 수확,시나리오2,C1: All,1,1,2,2,2,1
토마토 수확,시나리오2,C2: No,1,1,2,2,2,1
토마토 수확,시나리오2,C3: Ours1,2,1,3,2,2,1
토마토 수확,시나리오2,C4: Ours2,2,3,3,2,2,1
토마토 수확,시나리오2,C5: KnowNo,1,3,3,2,1,1
토마토 수확,시나리오3,C1: All,1,3,3,2,2,1
토마토 수확,시나리오3,C2: No,1,3,3,2,2,1
토마토 수확,시나리오3,C3: Ours1,2,1,3,2,2,1
토마토 수확,시나리오3,C4: Ours2,1,3,3,2,2,1
토마토 수확,시나리오3,C5: KnowNo,1,3,3,2,1,1
토마토 수확,시나리오4,C1: All,2,1,3,2,2,1
토마토 수확,시나리오4,C2: No,2,1,3,2,2,1
토마토 수확,시나리오4,C3: Ours1,3,2,1,1,2,1
토마토 수확,시나리오4,C4: Ours2,3,2,1,1,2,1
토마토 수확,시나리오4,C5: KnowNo,2,2,2,3,1,1
토마토 수확,시나리오5,C1: All,1,1,3,2,2,1
토마토 수확,시나리오5,C2: No,1,1,3,2,2,1
토마토 수확,시나리오5,C3: Ours1,2,1,3,2,2,1
토마토 수확,시나리오5,C4: Ours2,1,1,3,2,2,1
토마토 수확,시나리오5,C5: KnowNo,2,1,1,2,1,1
