조건,도메인,P001,,,,,,,,P002,,,,,,,,P003,,,,,,,,P004,,,,,,,
,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART
C1: All,Waste,100,13,1,0,0,6,1.83333,3.5,100,32,1,0,0,1,1,3.5,100,29,1,0.5,0.5,2,2.16667,3.3,100,28,0.5,1,0.5,5,4,3
,Tomato,0,51,0.5,0.5,1,5,2.5,3.1,100,33,1,0,1,1,1.16667,3.9,100,30,1,1,1,2,2.16667,3.1,100,37,1,0,0.5,5,4.5,3.9
C2: No,Waste,,0,1,1,0,5,2.16667,4.4,,0,1,0,0.5,2,1,3.3,,0,1,0,1,2,2.16667,3.1,,1,1,0,1,4,2.33333,3.6
,Tomato,,1,1,0,0,2,1.33333,3.4,,0,1,0,1,1,1,3.2,,0,0.5,0.5,1,2,2.16667,3,,2,1,0.5,1,3,2.33333,3.1
C3: Ours1,Waste,100,5,0.5,0.5,0.5,5,1.83333,3.9,100,14,1,0.5,1,1,1.33333,3.7,100,9,1,0.5,0.5,3,1.83333,3.2,100,9,1,0.5,0.5,5,3.5,3.4
,Tomato,100,15,1,0.5,0.5,5,2.16667,3.2,100,28,1,0.5,1,1,1.16667,3.7,0,80,0.5,0,1,2,2.16667,3.2,100,6,1,0,1,5,3.66667,3.4
C4: Ours2,Waste,100,9,1,0,1,5,1.83333,3.6,100,13,1,0,0.5,1,1,3.4,100,10,1,0,1,2,2,3.4,100,6,1,0,1,5,3.5,3.1
,Tomato,0,24,1,1,1,3,2.33333,3.1,100,12,0.5,0,1,1,1,3.2,100,10,0.5,1,1,3,2.16667,3.2,100,12,0.5,0.5,1,3,2.66667,3
C5: KnowNo,Waste,0,19,0.5,0.5,0.5,4,2.66667,3.8,0,15,1,0,0.5,1,1,3.4,100,22,1,0,0.5,2,2.33333,3.3,0,17,1,0,1,5,4.16667,2.9
,Tomato,100,60,0.5,0.5,0.5,5,2.16667,3.4,100,27,1,0.5,0.5,1,1.5,3.3,100,15,0.5,1,0.5,3,1.83333,3.2,100,5,1,0.5,0.5,5,3.33333,3.3


조건,도메인,P005,,,,,,,,P006,,,,,,,,P007,,,,,,,,P008,,,,,,,
,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART
C1: All,Waste,100,31,1,0,0.5,2,1.5,4.2,100,14,1,1,0.5,1,2.83333,1.6,100,27,1,1,0.5,1,1,2.1,100,34,0.5,0,0.5,1,2.33333,3.3
,Tomato,0,15,1,0.5,0.5,3,1.66667,4.3,100,32,1,0,1,1,1.83333,1.7,100,31,0.5,1,0.5,1,1.33333,2,100,39,1,0.5,0.5,3,2.33333,4.4
C2: No,Waste,,1,1,0,1,1,1.5,3.6,,1,1,0,1,1,1.16667,2.5,,0,1,1,0.5,2,1,2.2,,0,1,0,1,6,2.5,3.4
,Tomato,,0,0.5,0.5,0.5,1,1.33333,4,,0,0.5,0,1,1,1.5,3.6,,0,1,0.5,1,2,1.16667,2,,14,0.5,0,0.5,3,3.16667,3.2
C3: Ours1,Waste,100,10,1,0.5,0.5,3,1.66667,4.1,100,18,1,0.5,1,2,1.5,2.8,100,5,1,1,1,1,1,2,0,10,0.5,0.5,0.5,3,4,3.8
,Tomato,100,34,0.5,0.5,1,2,1.5,4.2,100,17,0.5,0.5,1,2,1.66667,1.7,0,,0.5,1,0.5,2,1,2.1,100,20,0.5,0,1,5,2.16667,3.4
C4: Ours2,Waste,100,5,1,0,0.5,2,1.66667,3.8,100,18,0.5,0,0.5,1,1.16667,1.8,100,6,0.5,0,0.5,2,1,2.2,100,9,0.5,0,1,1,2,3.7
,Tomato,0,20,0.5,0.5,1,1,1.5,4.1,100,30,1,0.5,1,1,1.83333,2.6,100,13,0.5,0,1,2,1.16667,2,100,14,1,0,1,3,2.33333,2.9
C5: KnowNo,Waste,0,27,0.5,1,1,3,2.33333,4.3,0,32,0.5,0,0,3,1.66667,2,0,27,1,0.5,1,1,1.33333,1.8,0,25,1,1,1,3,3,3.4
,Tomato,100,17,0.5,0.5,0.5,2,1.5,3.8,100,19,0.5,0.5,0.5,1,1.66667,2,100,10,0.5,0.5,1,1,1,1.4,100,36,1,1,1,2,1.5,3.8


조건,도메인,P009,,,,,,,,P010,,,,,,,,P011,,,,,,,,P012,,,,,,,
